═══════════════════════════════════════════════════════════════
  Site            : tvgids.nl
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 43s
  Channels        : 230
  With programmes : 225
  Empty channels  : 5
  Total programs  : 10361
  Output size     : 3485713 bytes
  HTTP errors     :
    5 status code 404
  Last error      : Request failed with status code 404
  Generated       : 2026-04-24 12:37:34
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:36:51 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tvgids.nl --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 115 channel(s)
ℹ loading api data...
ℹ   [128/230] tvgids.nl (nl) - NPO1extra.nl@HD - Apr 25, 2026 (40 programs)
ℹ   [129/230] tvgids.nl (nl) - NPO2extra.nl@HD - Apr 24, 2026 (33 programs)
ℹ   [130/230] tvgids.nl (nl) - NPO3.nl@HD - Apr 24, 2026 (105 programs)
ℹ   [131/230] tvgids.nl (nl) - NPO3.nl@HD - Apr 25, 2026 (76 programs)
ℹ   [132/230] tvgids.nl (nl) - NPO2extra.nl@HD - Apr 25, 2026 (26 programs)
ℹ   [133/230] tvgids.nl (nl) - NPOPolitiekenNieuws.nl@HD - Apr 24, 2026 (11 programs)
ℹ   [134/230] tvgids.nl (nl) - NPOPolitiekenNieuws.nl@HD - Apr 25, 2026 (11 programs)
ℹ   [135/230] tvgids.nl (nl) - OmropFryslan.nl@SD - Apr 24, 2026 (35 programs)
ℹ   [136/230] tvgids.nl (nl) - OmropFryslan.nl@SD - Apr 25, 2026 (38 programs)
ℹ   [137/230] tvgids.nl (nl) - ONS.nl@SD - Apr 24, 2026 (39 programs)
ℹ   [138/230] tvgids.nl (nl) - ONS.nl@SD - Apr 25, 2026 (34 programs)
ℹ   [139/230] tvgids.nl (nl) - oranjetv - Apr 24, 2026 (14 programs)
