═══════════════════════════════════════════════════════════════
  Site            : sky.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 113s
  Channels        : 1066
  With programmes : 1014
  Empty channels  : 52
  Total programs  : 27995
  Output size     : 15867215 bytes
  Generated       : 2026-04-24 12:01:19
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:59:26 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=sky.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 533 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [127/1066] sky.com (en) - 5Action.uk@SD - Apr 25, 2026 (27 programs)
ℹ   [128/1066] sky.com (en) - 5Action.uk@SD - Apr 24, 2026 (27 programs)
ℹ   [129/1066] sky.com (en) - 5SELECT.uk@SD - Apr 24, 2026 (22 programs)
ℹ   [130/1066] sky.com (en) - 5SELECT.uk@SD - Apr 25, 2026 (25 programs)
ℹ   [131/1066] sky.com (en) - 5STAR.uk@Plus1 - Apr 24, 2026 (25 programs)
ℹ   [132/1066] sky.com (en) - 5STAR.uk@Plus1 - Apr 25, 2026 (28 programs)
ℹ   [133/1066] sky.com (en) - 5STAR.uk@SD - Apr 24, 2026 (25 programs)
ℹ   [134/1066] sky.com (en) - 5USA.uk@Plus1 - Apr 24, 2026 (24 programs)
ℹ   [135/1066] sky.com (en) - 5USA.uk@Plus1 - Apr 25, 2026 (22 programs)
ℹ   [136/1066] sky.com (en) - 5USA.uk@SD - Apr 24, 2026 (25 programs)
ℹ   [137/1066] sky.com (en) - 5STAR.uk@SD - Apr 25, 2026 (28 programs)
ℹ   [138/1066] sky.com (en) - 5USA.uk@SD - Apr 25, 2026 (23 programs)
ℹ   [139/1066] sky.com (en) - 40Plus.uk@SD - Apr 24, 2026 (0 programs)
ℹ   [140/1066] sky.com (en) - 40Plus.uk@SD - Apr 25, 2026 (0 programs)
ℹ   [141/1066] sky.com (en) - A1TVRajasthan.in@SD - Apr 24, 2026 (46 programs)
ℹ   [142/1066] sky.com (en) - A1TVRajasthan.in@SD - Apr 25, 2026 (46 programs)
ℹ   [143/1066] sky.com (en) - AajTak.in@SD - Apr 24, 2026 (46 programs)
ℹ   [144/1066] sky.com (en) - AajTak.in@SD - Apr 25, 2026 (46 programs)
ℹ   [145/1066] sky.com (en) - Aastha.in@SD - Apr 24, 2026 (23 programs)
ℹ   [146/1066] sky.com (en) - Aastha.in@SD - Apr 25, 2026 (23 programs)
ℹ   [147/1066] sky.com (en) - AdultChannel.uk@SD - Apr 24, 2026 (0 programs)
ℹ   [148/1066] sky.com (en) - AdultChannel.uk@SD - Apr 25, 2026 (0 programs)
ℹ   [149/1066] sky.com (en) - AhlebaitTV.uk@SD - Apr 25, 2026 (27 programs)
ℹ   [150/1066] sky.com (en) - AhlebaitTV.uk@SD - Apr 24, 2026 (27 programs)
ℹ   [151/1066] sky.com (en) - AkaalChannel.uk@SD - Apr 24, 2026 (28 programs)
ℹ   [152/1066] sky.com (en) - AkaalChannel.uk@SD - Apr 25, 2026 (28 programs)
ℹ   [153/1066] sky.com (en) - alibi.ie@HD - Apr 24, 2026 (22 programs)
ℹ   [154/1066] sky.com (en) - alibi.ie@HD - Apr 25, 2026 (21 programs)
ℹ   [155/1066] sky.com (en) - alibi.ie@SD - Apr 24, 2026 (22 programs)
ℹ   [156/1066] sky.com (en) - alibi.ie@SD - Apr 25, 2026 (21 programs)
ℹ   [157/1066] sky.com (en) - AlJazeera.qa@English - Apr 25, 2026 (37 programs)
ℹ   [158/1066] sky.com (en) - AlJazeera.qa@English - Apr 24, 2026 (36 programs)
ℹ   [159/1066] sky.com (en) - AnimalPlanet.uk@Plus1 - Apr 24, 2026 (26 programs)
ℹ   [160/1066] sky.com (en) - AnimalPlanet.uk@SD - Apr 24, 2026 (26 programs)
ℹ   [161/1066] sky.com (en) - ArirangWorld.kr@SD - Apr 24, 2026 (47 programs)
ℹ   [162/1066] sky.com (en) - AnimalPlanet.uk@SD - Apr 25, 2026 (27 programs)
ℹ   [163/1066] sky.com (en) - AnimalPlanet.uk@Plus1 - Apr 25, 2026 (27 programs)
ℹ   [164/1066] sky.com (en) - ArirangWorld.kr@SD - Apr 25, 2026 (51 programs)
ℹ   [165/1066] sky.com (en) - ARYDigital.pk@UK - Apr 24, 2026 (29 programs)
