═══════════════════════════════════════════════════════════════
  Site            : tv.lv
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 30s
  Channels        : 274
  With programmes : 6
  Empty channels  : 268
  Total programs  : 109
  Output size     : 95872 bytes
  HTTP errors     :
    174 status code 429
  Last error      : Request failed with status code 429
  Generated       : 2026-04-24 12:47:14
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:46:44 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tv.lv --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 137 channel(s)
ℹ loading api data...
ℹ     ERR: Request failed with status code 429
ℹ   [153/274] tv.lv (lv) - mtv-live-hd - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [154/274] tv.lv (lv) - mtv-live-hd - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [155/274] tv.lv (lv) - mtv-music - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [156/274] tv.lv (lv) - mtv-music - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [157/274] tv.lv (lv) - mtv-rocks - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [158/274] tv.lv (lv) - mtv-rocks - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [159/274] tv.lv (lv) - mtv-sport-1 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [160/274] tv.lv (lv) - mtv-sport-1 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [161/274] tv.lv (lv) - mtv-sport-2 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [162/274] tv.lv (lv) - mtv-sport-2 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [163/274] tv.lv (lv) - mvk - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [164/274] tv.lv (lv) - mvk - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [165/274] tv.lv (lv) - N24Doku.de@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [166/274] tv.lv (lv) - N24Doku.de@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [167/274] tv.lv (lv) - n-tv - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [168/274] tv.lv (lv) - n-tv - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [169/274] tv.lv (lv) - nat-geo-wild-europe - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [170/274] tv.lv (lv) - nat-geo-wild-europe - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [171/274] tv.lv (lv) - national-geographic-baltic - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [172/274] tv.lv (lv) - national-geographic-baltic - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [173/274] tv.lv (lv) - national-geographic-channel-hd - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [174/274] tv.lv (lv) - national-geographic-channel-hd - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [175/274] tv.lv (lv) - nautical-channel - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [176/274] tv.lv (lv) - nautical-channel - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [177/274] tv.lv (lv) - nick-jr - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [178/274] tv.lv (lv) - nick-jr - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [179/274] tv.lv (lv) - nickelodeon-euro - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [180/274] tv.lv (lv) - nickelodeon-euro - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [181/274] tv.lv (lv) - nickelodeon-latvia - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [182/274] tv.lv (lv) - nickelodeon-latvia - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [183/274] tv.lv (lv) - ORF1.at@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [184/274] tv.lv (lv) - ORF1.at@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [185/274] tv.lv (lv) - ORF2.at@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [186/274] tv.lv (lv) - ORF2.at@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [187/274] tv.lv (lv) - pro-7 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [188/274] tv.lv (lv) - pro-7 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [189/274] tv.lv (lv) - ReTV.lv@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [190/274] tv.lv (lv) - ReTV.lv@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [191/274] tv.lv (lv) - riga-tv24 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [192/274] tv.lv (lv) - rtl - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [193/274] tv.lv (lv) - riga-tv24 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [194/274] tv.lv (lv) - rtl - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [195/274] tv.lv (lv) - rtl-2 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [196/274] tv.lv (lv) - rtl-2 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [197/274] tv.lv (lv) - Nitro.de@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [198/274] tv.lv (lv) - Nitro.de@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [199/274] tv.lv (lv) - SAT1Gold.de@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [200/274] tv.lv (lv) - SAT1Gold.de@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [201/274] tv.lv (lv) - sat-1 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [202/274] tv.lv (lv) - sat-1 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [203/274] tv.lv (lv) - sixx.de@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [204/274] tv.lv (lv) - sixx.de@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [205/274] tv.lv (lv) - smartzone-baltic-lithuania - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [206/274] tv.lv (lv) - smartzone-baltic-lithuania - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [207/274] tv.lv (lv) - sport1 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [208/274] tv.lv (lv) - sport1 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [209/274] tv.lv (lv) - sport-1 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [210/274] tv.lv (lv) - sport-1 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [211/274] tv.lv (lv) - sportacentrs - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [212/274] tv.lv (lv) - sportacentrs - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [213/274] tv.lv (lv) - stv-latvija - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [214/274] tv.lv (lv) - stv-latvija - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [215/274] tv.lv (lv) - RTLSuper.de@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [216/274] tv.lv (lv) - tiji - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [217/274] tv.lv (lv) - RTLSuper.de@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [218/274] tv.lv (lv) - tiji - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [219/274] tv.lv (lv) - tlc-germany - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [220/274] tv.lv (lv) - tlc-germany - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [221/274] tv.lv (lv) - trace-sports - Apr 24, 2026 (0 programs)
