═══════════════════════════════════════════════════════════════
  Site            : streamingtvguides.com
  Status          : TIMEOUT
  Attempts used   : 10 / 10
  Total elapsed   : 1480s
  Channels        : 11079
  With programmes : 0
  Empty channels  : 11079
  Total programs  : 0
  Output size     : 0 bytes
  HTTP errors     :
    34 status code 404
    29 status code 522
  Other errors    :
    21 timeout of 30000ms exceeded
  Last error      : Request failed with status code 404
  Generated       : 2026-04-24 12:29:28
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:04:48 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=streamingtvguides.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 3066 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [118/6132] streamingtvguides.com (en) - ADNUJZ - Apr 25, 2026 (0 programs)
ℹ   [119/6132] streamingtvguides.com (en) - ADPARTY - Apr 24, 2026 (0 programs)
ℹ   [120/6132] streamingtvguides.com (en) - ADPLAZ - Apr 24, 2026 (0 programs)
ℹ   [121/6132] streamingtvguides.com (en) - ADPARTY - Apr 25, 2026 (0 programs)
ℹ   [122/6132] streamingtvguides.com (en) - ADPLAZ - Apr 25, 2026 (0 programs)
ℹ   [123/6132] streamingtvguides.com (en) - ADRHSE - Apr 24, 2026 (0 programs)
ℹ   [124/6132] streamingtvguides.com (en) - ADRHSE - Apr 25, 2026 (0 programs)
ℹ   [125/6132] streamingtvguides.com (en) - ADRKSH - Apr 25, 2026 (0 programs)
ℹ   [126/6132] streamingtvguides.com (en) - ADRKSH - Apr 24, 2026 (0 programs)
ℹ   [127/6132] streamingtvguides.com (en) - ADSHINE - Apr 24, 2026 (0 programs)
ℹ   [128/6132] streamingtvguides.com (en) - ADSHINE - Apr 25, 2026 (0 programs)
ℹ   [129/6132] streamingtvguides.com (en) - ADSONG - Apr 24, 2026 (0 programs)
ℹ   [130/6132] streamingtvguides.com (en) - ADSONG - Apr 25, 2026 (0 programs)
ℹ   [131/6132] streamingtvguides.com (en) - ADSTRB - Apr 24, 2026 (0 programs)
ℹ   [132/6132] streamingtvguides.com (en) - ADSTRB - Apr 25, 2026 (0 programs)
ℹ   [133/6132] streamingtvguides.com (en) - ADSWNG - Apr 24, 2026 (0 programs)
ℹ   [134/6132] streamingtvguides.com (en) - ADSWNG - Apr 25, 2026 (0 programs)
ℹ   [135/6132] streamingtvguides.com (en) - ADTRPB - Apr 24, 2026 (0 programs)
ℹ   [136/6132] streamingtvguides.com (en) - ADTRPB - Apr 25, 2026 (0 programs)
ℹ   [137/6132] streamingtvguides.com (en) - ADTYA - Apr 24, 2026 (0 programs)
ℹ   [138/6132] streamingtvguides.com (en) - ADTYA - Apr 25, 2026 (0 programs)
ℹ   [139/6132] streamingtvguides.com (en) - ADUBET - Apr 24, 2026 (0 programs)
ℹ   [140/6132] streamingtvguides.com (en) - ADUBET - Apr 25, 2026 (0 programs)
ℹ   [141/6132] streamingtvguides.com (en) - ADUNFRG - Apr 24, 2026 (0 programs)
ℹ   [142/6132] streamingtvguides.com (en) - ADUNFRG - Apr 25, 2026 (0 programs)
ℹ   [143/6132] streamingtvguides.com (en) - AETVHDP - Apr 24, 2026 (0 programs)
ℹ   [144/6132] streamingtvguides.com (en) - AETVHD - Apr 25, 2026 (0 programs)
ℹ   [145/6132] streamingtvguides.com (en) - AETVHD - Apr 24, 2026 (0 programs)
ℹ   [146/6132] streamingtvguides.com (en) - AETVHDP - Apr 25, 2026 (0 programs)
ℹ   [147/6132] streamingtvguides.com (en) - AETVP - Apr 24, 2026 (0 programs)
ℹ   [148/6132] streamingtvguides.com (en) - AETVP - Apr 25, 2026 (0 programs)
ℹ   [149/6132] streamingtvguides.com (en) - AFRCA - Apr 24, 2026 (0 programs)
ℹ   [150/6132] streamingtvguides.com (en) - AFRCA - Apr 25, 2026 (0 programs)
ℹ   [151/6132] streamingtvguides.com (en) - AFRCA24 - Apr 24, 2026 (0 programs)
ℹ   [152/6132] streamingtvguides.com (en) - AFRCA24 - Apr 25, 2026 (0 programs)
ℹ   [153/6132] streamingtvguides.com (en) - AFRCAHD - Apr 24, 2026 (0 programs)
ℹ   [154/6132] streamingtvguides.com (en) - AFRCAHD - Apr 25, 2026 (0 programs)
ℹ   [155/6132] streamingtvguides.com (en) - AFRMU - Apr 25, 2026 (0 programs)
ℹ   [156/6132] streamingtvguides.com (en) - AFRMU - Apr 24, 2026 (0 programs)
ℹ   [157/6132] streamingtvguides.com (en) - AFROSD - Apr 24, 2026 (0 programs)
ℹ   [158/6132] streamingtvguides.com (en) - AFROSD - Apr 25, 2026 (0 programs)
ℹ   [159/6132] streamingtvguides.com (en) - AGHAPY - Apr 24, 2026 (0 programs)
ℹ   [160/6132] streamingtvguides.com (en) - AGHAPY - Apr 25, 2026 (0 programs)
ℹ   [161/6132] streamingtvguides.com (en) - AHCHD - Apr 25, 2026 (0 programs)
ℹ   [162/6132] streamingtvguides.com (en) - AHCHD - Apr 24, 2026 (0 programs)
ℹ   [163/6132] streamingtvguides.com (en) - ALAHLY - Apr 24, 2026 (0 programs)
ℹ   [164/6132] streamingtvguides.com (en) - ALAHLY - Apr 25, 2026 (0 programs)
ℹ   [165/6132] streamingtvguides.com (en) - ALHY1 - Apr 24, 2026 (0 programs)
ℹ   [166/6132] streamingtvguides.com (en) - ALHY1 - Apr 25, 2026 (0 programs)
ℹ   [167/6132] streamingtvguides.com (en) - ALJZ - Apr 24, 2026 (0 programs)
ℹ   [168/6132] streamingtvguides.com (en) - ALJZ - Apr 25, 2026 (0 programs)
ℹ   [169/6132] streamingtvguides.com (en) - ALLTVK - Apr 24, 2026 (0 programs)
ℹ   [170/6132] streamingtvguides.com (en) - ALMA - Apr 24, 2026 (0 programs)
ℹ   [171/6132] streamingtvguides.com (en) - ALLTVK - Apr 25, 2026 (0 programs)
ℹ   [172/6132] streamingtvguides.com (en) - ALMA - Apr 25, 2026 (0 programs)
ℹ   [173/6132] streamingtvguides.com (en) - ALNHRDR - Apr 24, 2026 (0 programs)
ℹ   [174/6132] streamingtvguides.com (en) - ALNAHAR - Apr 25, 2026 (0 programs)
ℹ   [175/6132] streamingtvguides.com (en) - ALNAHAR - Apr 24, 2026 (0 programs)
