═══════════════════════════════════════════════════════════════
  Site            : mi.tv
  Status          : PASS
  Attempts used   : 7 / 10
  Total elapsed   : 1564s
  Channels        : 19642
  With programmes : 15207
  Empty channels  : 4435
  Total programs  : 92059
  Output size     : 44390818 bytes
  Generated       : 2026-04-24 11:38:42
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:12:38 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=mi.tv --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 2084 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [105/4168] mi.tv (es) - DiscoveryScienceLatinAmerica.us@SD - Apr 24, 2026 (31 programs)
ℹ   [106/4168] mi.tv (es) - DiscoveryScienceLatinAmerica.us@SD - Apr 25, 2026 (31 programs)
ℹ   [107/4168] mi.tv (es) - TLCLatinAmerica.us@South - Apr 24, 2026 (33 programs)
ℹ   [108/4168] mi.tv (es) - TLCLatinAmerica.us@South - Apr 25, 2026 (31 programs)
ℹ   [109/4168] mi.tv (es) - DiscoveryTurboLatinAmerica.us@Panregional - Apr 24, 2026 (30 programs)
ℹ   [110/4168] mi.tv (es) - DiscoveryTurboLatinAmerica.us@Panregional - Apr 25, 2026 (31 programs)
ℹ   [111/4168] mi.tv (es) - DiscoveryWorld.us@LatinAmerica - Apr 24, 2026 (51 programs)
ℹ   [112/4168] mi.tv (es) - DiscoveryWorld.us@LatinAmerica - Apr 25, 2026 (51 programs)
ℹ   [113/4168] mi.tv (es) - DisneyChannelLatinAmerica.ar@South - Apr 24, 2026 (55 programs)
ℹ   [114/4168] mi.tv (es) - DisneyChannelLatinAmerica.ar@South - Apr 25, 2026 (49 programs)
ℹ   [115/4168] mi.tv (es) - ar#disney-jr - Apr 24, 2026 (61 programs)
ℹ   [116/4168] mi.tv (es) - ar#disney-jr - Apr 25, 2026 (60 programs)
ℹ   [117/4168] mi.tv (es) - ar#disney-xd - Apr 24, 2026 (0 programs)
ℹ   [118/4168] mi.tv (es) - ar#disney-xd - Apr 25, 2026 (0 programs)
ℹ   [119/4168] mi.tv (es) - DeporTV.ar@SD - Apr 24, 2026 (11 programs)
ℹ   [120/4168] mi.tv (es) - DeporTV.ar@SD - Apr 25, 2026 (20 programs)
ℹ   [121/4168] mi.tv (es) - ar#el-doce - Apr 24, 2026 (16 programs)
ℹ   [122/4168] mi.tv (es) - ar#el-doce - Apr 25, 2026 (23 programs)
ℹ   [123/4168] mi.tv (es) - GarageTVLatinAmerica.ar@SD - Apr 24, 2026 (43 programs)
ℹ   [124/4168] mi.tv (es) - GarageTVLatinAmerica.ar@SD - Apr 25, 2026 (46 programs)
ℹ   [125/4168] mi.tv (es) - ElGourmet.ar@South - Apr 24, 2026 (45 programs)
ℹ   [126/4168] mi.tv (es) - ElGourmet.ar@South - Apr 25, 2026 (45 programs)
ℹ   [127/4168] mi.tv (es) - ElTrece.ar@SD - Apr 24, 2026 (16 programs)
ℹ   [128/4168] mi.tv (es) - ElTrece.ar@SD - Apr 25, 2026 (11 programs)
ℹ   [129/4168] mi.tv (es) - ElTreceInternacionalLatinAmerica.ar@SD - Apr 24, 2026 (16 programs)
ℹ   [130/4168] mi.tv (es) - ElTreceInternacionalLatinAmerica.ar@SD - Apr 25, 2026 (10 programs)
ℹ   [131/4168] mi.tv (es) - Encuentro.ar@SD - Apr 24, 2026 (41 programs)
ℹ   [132/4168] mi.tv (es) - Encuentro.ar@SD - Apr 25, 2026 (33 programs)
ℹ   [133/4168] mi.tv (es) - ELatinAmerica.us@Andes - Apr 24, 2026 (0 programs)
ℹ   [134/4168] mi.tv (es) - ELatinAmerica.us@Andes - Apr 25, 2026 (0 programs)
