═══════════════════════════════════════════════════════════════
  Site            : xumo.tv
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 56s
  Channels        : 830
  With programmes : 812
  Empty channels  : 18
  Total programs  : 26606
  Output size     : 8883086 bytes
  Generated       : 2026-04-24 13:07:20
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 13:06:24 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=xumo.tv --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 415 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [169/830] xumo.tv (en) - 50#99951538 - Apr 25, 2026 (20 programs)
ℹ   [170/830] xumo.tv (en) - 50#99991196 - Apr 25, 2026 (31 programs)
ℹ   [171/830] xumo.tv (en) - PGATour.us@SD - Apr 24, 2026 (23 programs)
ℹ   [172/830] xumo.tv (en) - PGATour.us@SD - Apr 25, 2026 (26 programs)
ℹ   [173/830] xumo.tv (en) - 50#99991292 - Apr 24, 2026 (29 programs)
ℹ   [174/830] xumo.tv (en) - 50#99991292 - Apr 25, 2026 (31 programs)
ℹ   [175/830] xumo.tv (en) - ACCDigitalNetwork.us@SD - Apr 24, 2026 (12 programs)
ℹ   [176/830] xumo.tv (en) - ACCDigitalNetwork.us@SD - Apr 25, 2026 (12 programs)
ℹ   [177/830] xumo.tv (en) - WorldPokerTour.us@US - Apr 24, 2026 (21 programs)
ℹ   [178/830] xumo.tv (en) - WorldPokerTour.us@US - Apr 25, 2026 (18 programs)
ℹ   [179/830] xumo.tv (en) - TheAsylum.us@US - Apr 24, 2026 (18 programs)
ℹ   [180/830] xumo.tv (en) - TheAsylum.us@US - Apr 25, 2026 (21 programs)
ℹ   [181/830] xumo.tv (en) - WaypointTV.us@SD - Apr 24, 2026 (56 programs)
ℹ   [182/830] xumo.tv (en) - WaypointTV.us@SD - Apr 25, 2026 (58 programs)
ℹ   [183/830] xumo.tv (en) - 50#99991374 - Apr 24, 2026 (43 programs)
ℹ   [184/830] xumo.tv (en) - 50#99991374 - Apr 25, 2026 (44 programs)
ℹ   [185/830] xumo.tv (en) - beINSPORTSXTRA.us@SD - Apr 24, 2026 (29 programs)
ℹ   [186/830] xumo.tv (en) - beINSPORTSXTRA.us@SD - Apr 25, 2026 (31 programs)
ℹ   [187/830] xumo.tv (en) - TheWalkingDeadUniverse.us@SD - Apr 24, 2026 (24 programs)
ℹ   [188/830] xumo.tv (en) - TheWalkingDeadUniverse.us@SD - Apr 25, 2026 (24 programs)
ℹ   [189/830] xumo.tv (en) - BilliardTV.us@SD - Apr 24, 2026 (18 programs)
ℹ   [190/830] xumo.tv (en) - BilliardTV.us@SD - Apr 25, 2026 (14 programs)
ℹ   [191/830] xumo.tv (en) - PokerGo.us@US - Apr 24, 2026 (14 programs)
ℹ   [192/830] xumo.tv (en) - PokerGo.us@US - Apr 25, 2026 (13 programs)
ℹ   [193/830] xumo.tv (en) - CBSSportsHQ.us@SD - Apr 24, 2026 (10 programs)
ℹ   [194/830] xumo.tv (en) - CBSSportsHQ.us@SD - Apr 25, 2026 (12 programs)
ℹ   [195/830] xumo.tv (en) - PursuitUP.us@SD - Apr 24, 2026 (46 programs)
ℹ   [196/830] xumo.tv (en) - PursuitUP.us@SD - Apr 25, 2026 (43 programs)
ℹ   [197/830] xumo.tv (en) - NFLChannel.us@SD - Apr 24, 2026 (39 programs)
ℹ   [198/830] xumo.tv (en) - NFLChannel.us@SD - Apr 25, 2026 (24 programs)
ℹ   [199/830] xumo.tv (en) - 50#99991769 - Apr 24, 2026 (47 programs)
ℹ   [200/830] xumo.tv (en) - 50#99991769 - Apr 25, 2026 (46 programs)
ℹ   [201/830] xumo.tv (en) - 100#9999614 - Apr 24, 2026 (24 programs)
ℹ   [202/830] xumo.tv (en) - 100#9999614 - Apr 25, 2026 (24 programs)
ℹ   [203/830] xumo.tv (en) - Baywatch.us@US - Apr 24, 2026 (33 programs)
ℹ   [204/830] xumo.tv (en) - Baywatch.us@US - Apr 25, 2026 (34 programs)
ℹ   [205/830] xumo.tv (en) - 100#99951157 - Apr 24, 2026 (24 programs)
ℹ   [206/830] xumo.tv (en) - 100#99951157 - Apr 25, 2026 (24 programs)
ℹ   [207/830] xumo.tv (en) - FifthGear.us@UK - Apr 24, 2026 (45 programs)
ℹ   [208/830] xumo.tv (en) - FifthGear.us@UK - Apr 25, 2026 (44 programs)
ℹ   [209/830] xumo.tv (en) - BritBoxMysteries.us@SD - Apr 24, 2026 (23 programs)
ℹ   [210/830] xumo.tv (en) - BritBoxMysteries.us@SD - Apr 25, 2026 (23 programs)
ℹ   [211/830] xumo.tv (en) - 100#99951233 - Apr 24, 2026 (24 programs)
ℹ   [212/830] xumo.tv (en) - 100#99951233 - Apr 25, 2026 (24 programs)
ℹ   [213/830] xumo.tv (en) - UniversalCrime.us@East - Apr 24, 2026 (21 programs)
ℹ   [214/830] xumo.tv (en) - UniversalCrime.us@East - Apr 25, 2026 (19 programs)
ℹ   [215/830] xumo.tv (en) - TopGear.uk@SD - Apr 24, 2026 (25 programs)
ℹ   [216/830] xumo.tv (en) - TopGear.uk@SD - Apr 25, 2026 (22 programs)
ℹ   [217/830] xumo.tv (en) - 100#99951254 - Apr 24, 2026 (30 programs)
ℹ   [218/830] xumo.tv (en) - 100#99951254 - Apr 25, 2026 (31 programs)
ℹ   [219/830] xumo.tv (en) - SPEEDVISION.us@SD - Apr 24, 2026 (41 programs)
ℹ   [220/830] xumo.tv (en) - SPEEDVISION.us@SD - Apr 25, 2026 (48 programs)
ℹ   [221/830] xumo.tv (en) - RacerSelect.us@SD - Apr 24, 2026 (44 programs)
ℹ   [222/830] xumo.tv (en) - RacerSelect.us@SD - Apr 25, 2026 (18 programs)
ℹ   [223/830] xumo.tv (en) - 100#99951285 - Apr 24, 2026 (25 programs)
ℹ   [224/830] xumo.tv (en) - 100#99951285 - Apr 25, 2026 (13 programs)
ℹ   [225/830] xumo.tv (en) - 100#99951299 - Apr 24, 2026 (31 programs)
ℹ   [226/830] xumo.tv (en) - 100#99951299 - Apr 25, 2026 (32 programs)
ℹ   [227/830] xumo.tv (en) - NashBridges.us@SD - Apr 24, 2026 (31 programs)
ℹ   [228/830] xumo.tv (en) - NashBridges.us@SD - Apr 25, 2026 (31 programs)
ℹ   [229/830] xumo.tv (en) - Crunchyroll.us@SD - Apr 24, 2026 (0 programs)
ℹ   [230/830] xumo.tv (en) - Crunchyroll.us@SD - Apr 25, 2026 (0 programs)
ℹ   [231/830] xumo.tv (en) - 100#99951334 - Apr 24, 2026 (29 programs)
ℹ   [232/830] xumo.tv (en) - 100#99951334 - Apr 25, 2026 (33 programs)
ℹ   [233/830] xumo.tv (en) - DesignatedSurvivor.us@SD - Apr 24, 2026 (24 programs)
ℹ   [234/830] xumo.tv (en) - DesignatedSurvivor.us@SD - Apr 25, 2026 (24 programs)
ℹ   [235/830] xumo.tv (en) - 100#99951395 - Apr 24, 2026 (29 programs)
ℹ   [236/830] xumo.tv (en) - 100#99951395 - Apr 25, 2026 (28 programs)
ℹ   [237/830] xumo.tv (en) - Lawless.us@SD - Apr 24, 2026 (25 programs)
ℹ   [238/830] xumo.tv (en) - Lawless.us@SD - Apr 25, 2026 (25 programs)
ℹ   [239/830] xumo.tv (en) - 100#99951412 - Apr 24, 2026 (31 programs)
ℹ   [240/830] xumo.tv (en) - 100#99951412 - Apr 25, 2026 (31 programs)
ℹ   [241/830] xumo.tv (en) - 100#99951413 - Apr 24, 2026 (19 programs)
ℹ   [242/830] xumo.tv (en) - 100#99951413 - Apr 25, 2026 (26 programs)
ℹ   [243/830] xumo.tv (en) - 100#99951438 - Apr 24, 2026 (61 programs)
ℹ   [244/830] xumo.tv (en) - 100#99951438 - Apr 25, 2026 (61 programs)
ℹ   [245/830] xumo.tv (en) - 50CentAction.us@SD - Apr 24, 2026 (16 programs)
ℹ   [246/830] xumo.tv (en) - 50CentAction.us@SD - Apr 25, 2026 (15 programs)
ℹ   [247/830] xumo.tv (en) - 100#99951461 - Apr 24, 2026 (33 programs)
ℹ   [248/830] xumo.tv (en) - 100#99951461 - Apr 25, 2026 (32 programs)
ℹ   [249/830] xumo.tv (en) - 100#99951466 - Apr 24, 2026 (32 programs)
ℹ   [250/830] xumo.tv (en) - 100#99951466 - Apr 25, 2026 (34 programs)
ℹ   [251/830] xumo.tv (en) - 100#99951468 - Apr 24, 2026 (32 programs)
ℹ   [252/830] xumo.tv (en) - 100#99951468 - Apr 25, 2026 (30 programs)
ℹ   [253/830] xumo.tv (en) - 100#99951469 - Apr 24, 2026 (33 programs)
ℹ   [254/830] xumo.tv (en) - 100#99951469 - Apr 25, 2026 (28 programs)
ℹ   [255/830] xumo.tv (en) - Crime360.us@SD - Apr 24, 2026 (59 programs)
ℹ   [256/830] xumo.tv (en) - Crime360.us@SD - Apr 25, 2026 (37 programs)
ℹ   [257/830] xumo.tv (en) - 100#99951486 - Apr 24, 2026 (19 programs)
ℹ   [258/830] xumo.tv (en) - 100#99951486 - Apr 25, 2026 (20 programs)
ℹ   [259/830] xumo.tv (en) - 100#99951489 - Apr 24, 2026 (60 programs)
ℹ   [260/830] xumo.tv (en) - 100#99951489 - Apr 25, 2026 (60 programs)
ℹ   [261/830] xumo.tv (en) - 100#99951490 - Apr 24, 2026 (32 programs)
ℹ   [262/830] xumo.tv (en) - 100#99951490 - Apr 25, 2026 (26 programs)
ℹ   [263/830] xumo.tv (en) - 100#99951518 - Apr 24, 2026 (17 programs)
