═══════════════════════════════════════════════════════════════
  Site            : dishtv.in
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 141s
  Channels        : 1206
  With programmes : 1181
  Empty channels  : 25
  Total programs  : 40206
  Output size     : 65483156 bytes
  Other errors    :
    1 Cannot read properties of null (reading 'token')
  Last error      : Cannot read properties of null (reading 'token')
  Generated       : 2026-04-24 10:50:49
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 10:48:28 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=dishtv.in --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 603 channel(s)
ℹ loading api data...
ℹ   [104/1206] dishtv.in (en) - BhojpuriCinema.in@SD - Apr 24, 2026 (10 programs)
ℹ   [105/1206] dishtv.in (en) - BhojpuriCinema.in@SD - Apr 25, 2026 (9 programs)
ℹ   [106/1206] dishtv.in (en) - BigMagic.in@SD - Apr 24, 2026 (8 programs)
ℹ   [107/1206] dishtv.in (en) - BigMagic.in@SD - Apr 25, 2026 (10 programs)
ℹ   [108/1206] dishtv.in (en) - AKDCalcuttaNews.in@SD - Apr 24, 2026 (100 programs)
ℹ   [109/1206] dishtv.in (en) - AKDCalcuttaNews.in@SD - Apr 25, 2026 (100 programs)
ℹ   [110/1206] dishtv.in (en) - ChardiklaTimeTV.in@SD - Apr 24, 2026 (37 programs)
ℹ   [111/1206] dishtv.in (en) - ChardiklaTimeTV.in@SD - Apr 25, 2026 (38 programs)
ℹ   [112/1206] dishtv.in (en) - ChintuTV.in@SD - Apr 24, 2026 (19 programs)
ℹ   [113/1206] dishtv.in (en) - ChintuTV.in@SD - Apr 25, 2026 (19 programs)
ℹ   [114/1206] dishtv.in (en) - Chithiram.in@SD - Apr 24, 2026 (16 programs)
ℹ   [115/1206] dishtv.in (en) - Chithiram.in@SD - Apr 25, 2026 (16 programs)
ℹ   [116/1206] dishtv.in (en) - 9XM.in@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Cannot read properties of null (reading 'token')
ℹ   [117/1206] dishtv.in (en) - ChuttiTV.in@SD - Apr 24, 2026 (21 programs)
ℹ   [118/1206] dishtv.in (en) - ChuttiTV.in@SD - Apr 25, 2026 (18 programs)
ℹ   [119/1206] dishtv.in (en) - CNBCBajar.in@SD - Apr 24, 2026 (48 programs)
ℹ   [120/1206] dishtv.in (en) - CNBCBajar.in@SD - Apr 25, 2026 (48 programs)
ℹ   [121/1206] dishtv.in (en) - CNBCTV18.in@SD - Apr 24, 2026 (35 programs)
ℹ   [122/1206] dishtv.in (en) - CNBCTV18.in@SD - Apr 25, 2026 (40 programs)
ℹ   [123/1206] dishtv.in (en) - CNBCTV18PrimeHD.in@SD - Apr 25, 2026 (38 programs)
ℹ   [124/1206] dishtv.in (en) - CNBCAwaaz.in@SD - Apr 24, 2026 (55 programs)
ℹ   [125/1206] dishtv.in (en) - CNBCTV18PrimeHD.in@SD - Apr 24, 2026 (25 programs)
ℹ   [126/1206] dishtv.in (en) - CNBCAwaaz.in@SD - Apr 25, 2026 (54 programs)
ℹ   [127/1206] dishtv.in (en) - CNNNews18.in@SD - Apr 24, 2026 (29 programs)
ℹ   [128/1206] dishtv.in (en) - CNNNews18.in@SD - Apr 25, 2026 (38 programs)
ℹ   [129/1206] dishtv.in (en) - ColorsBanglaCinema.in@SD - Apr 24, 2026 (9 programs)
ℹ   [130/1206] dishtv.in (en) - ColorsBanglaCinema.in@SD - Apr 25, 2026 (9 programs)
ℹ   [131/1206] dishtv.in (en) - ColorsCineplexBollywood.in@SD - Apr 24, 2026 (9 programs)
ℹ   [132/1206] dishtv.in (en) - ColorsCineplexBollywood.in@SD - Apr 25, 2026 (8 programs)
ℹ   [133/1206] dishtv.in (en) - ColorsCineplexSuperhits.in@SD - Apr 24, 2026 (10 programs)
ℹ   [134/1206] dishtv.in (en) - ColorsCineplexSuperhits.in@SD - Apr 25, 2026 (11 programs)
ℹ   [135/1206] dishtv.in (en) - ColorsGujaratiCinema.in@SD - Apr 24, 2026 (9 programs)
ℹ   [136/1206] dishtv.in (en) - ColorsGujaratiCinema.in@SD - Apr 25, 2026 (9 programs)
ℹ   [137/1206] dishtv.in (en) - ColorsKannadaCinema.in@SD - Apr 24, 2026 (12 programs)
ℹ   [138/1206] dishtv.in (en) - ColorsKannadaCinema.in@SD - Apr 25, 2026 (9 programs)
ℹ   [139/1206] dishtv.in (en) - CTVNAKDPlus.in@SD - Apr 24, 2026 (51 programs)
ℹ   [140/1206] dishtv.in (en) - CTVNAKDPlus.in@SD - Apr 25, 2026 (51 programs)
ℹ   [141/1206] dishtv.in (en) - DangalTV.in@SD - Apr 24, 2026 (34 programs)
ℹ   [142/1206] dishtv.in (en) - DangalTV.in@SD - Apr 25, 2026 (34 programs)
ℹ   [143/1206] dishtv.in (en) - Dangal2.in@SD - Apr 24, 2026 (15 programs)
ℹ   [144/1206] dishtv.in (en) - Dangal2.in@SD - Apr 25, 2026 (12 programs)
ℹ   [145/1206] dishtv.in (en) - DarshanaTV.in@SD - Apr 24, 2026 (48 programs)
ℹ   [146/1206] dishtv.in (en) - DarshanaTV.in@SD - Apr 25, 2026 (48 programs)
ℹ   [147/1206] dishtv.in (en) - DDArunPrabha.in@SD - Apr 24, 2026 (47 programs)
ℹ   [148/1206] dishtv.in (en) - DDArunPrabha.in@SD - Apr 25, 2026 (48 programs)
ℹ   [149/1206] dishtv.in (en) - DDAssam.in@SD - Apr 24, 2026 (33 programs)
ℹ   [150/1206] dishtv.in (en) - DDAssam.in@SD - Apr 25, 2026 (34 programs)
ℹ   [151/1206] dishtv.in (en) - DDBangla.in@SD - Apr 24, 2026 (35 programs)
ℹ   [152/1206] dishtv.in (en) - DDBangla.in@SD - Apr 25, 2026 (36 programs)
ℹ   [153/1206] dishtv.in (en) - DDBharati.in@SD - Apr 24, 2026 (44 programs)
ℹ   [154/1206] dishtv.in (en) - DDBharati.in@SD - Apr 25, 2026 (42 programs)
ℹ   [155/1206] dishtv.in (en) - DDBihar.in@SD - Apr 24, 2026 (54 programs)
ℹ   [156/1206] dishtv.in (en) - DDBihar.in@SD - Apr 25, 2026 (57 programs)
ℹ   [157/1206] dishtv.in (en) - DDChandana.in@SD - Apr 24, 2026 (41 programs)
ℹ   [158/1206] dishtv.in (en) - DDChandana.in@SD - Apr 25, 2026 (40 programs)
ℹ   [159/1206] dishtv.in (en) - DDGirnar.in@SD - Apr 24, 2026 (47 programs)
ℹ   [160/1206] dishtv.in (en) - DDGirnar.in@SD - Apr 25, 2026 (47 programs)
ℹ   [161/1206] dishtv.in (en) - DDKashir.in@SD - Apr 24, 2026 (61 programs)
ℹ   [162/1206] dishtv.in (en) - DDKashir.in@SD - Apr 25, 2026 (55 programs)
ℹ   [163/1206] dishtv.in (en) - DDKisan.in@SD - Apr 24, 2026 (46 programs)
ℹ   [164/1206] dishtv.in (en) - DDKisan.in@SD - Apr 25, 2026 (45 programs)
ℹ   [165/1206] dishtv.in (en) - DDMadhyaPradesh.in@SD - Apr 24, 2026 (48 programs)
ℹ   [166/1206] dishtv.in (en) - DDMadhyaPradesh.in@SD - Apr 25, 2026 (48 programs)
ℹ   [167/1206] dishtv.in (en) - DDMalayalam.in@SD - Apr 24, 2026 (43 programs)
ℹ   [168/1206] dishtv.in (en) - DDMalayalam.in@SD - Apr 25, 2026 (48 programs)
ℹ   [169/1206] dishtv.in (en) - DDOdia.in@SD - Apr 24, 2026 (46 programs)
ℹ   [170/1206] dishtv.in (en) - DDOdia.in@SD - Apr 25, 2026 (40 programs)
ℹ   [171/1206] dishtv.in (en) - DDTamil.in@SD - Apr 24, 2026 (50 programs)
ℹ   [172/1206] dishtv.in (en) - DDTamil.in@SD - Apr 25, 2026 (49 programs)
