═══════════════════════════════════════════════════════════════
  Site            : tv-spored.siol.net
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 153s
  Channels        : 624
  With programmes : 555
  Empty channels  : 69
  Total programs  : 16180
  Output size     : 3632568 bytes
  HTTP errors     :
    3 status code 500
  Last error      : Request failed with status code 500
  Generated       : 2026-04-24 12:59:21
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:56:48 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tv-spored.siol.net --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 312 channel(s)
ℹ loading api data...
ℹ   [120/624] tv-spored.siol.net (sl) - dizi - Apr 25, 2026 (28 programs)
ℹ   [121/624] tv-spored.siol.net (sl) - dmtv - Apr 24, 2026 (30 programs)
ℹ   [122/624] tv-spored.siol.net (sl) - docubox - Apr 25, 2026 (42 programs)
ℹ   [123/624] tv-spored.siol.net (sl) - docubox - Apr 24, 2026 (42 programs)
ℹ   [124/624] tv-spored.siol.net (sl) - dmtv - Apr 25, 2026 (30 programs)
ℹ   [125/624] tv-spored.siol.net (sl) - dogtv - Apr 24, 2026 (0 programs)
ℹ   [126/624] tv-spored.siol.net (sl) - dogtv - Apr 25, 2026 (0 programs)
ℹ   [127/624] tv-spored.siol.net (sl) - domkino - Apr 24, 2026 (10 programs)
ℹ   [128/624] tv-spored.siol.net (sl) - doq - Apr 24, 2026 (45 programs)
ℹ   [129/624] tv-spored.siol.net (sl) - domkino - Apr 25, 2026 (9 programs)
ℹ   [130/624] tv-spored.siol.net (sl) - doq - Apr 25, 2026 (36 programs)
ℹ   [131/624] tv-spored.siol.net (sl) - dorcel - Apr 24, 2026 (21 programs)
ℹ   [132/624] tv-spored.siol.net (sl) - dorcel - Apr 25, 2026 (18 programs)
ℹ   [133/624] tv-spored.siol.net (sl) - dorcelhd - Apr 24, 2026 (19 programs)
ℹ   [134/624] tv-spored.siol.net (sl) - dorcelhd - Apr 25, 2026 (16 programs)
