═══════════════════════════════════════════════════════════════
  Site            : tataplay.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 320s
  Channels        : 2194
  With programmes : 2125
  Empty channels  : 69
  Total programs  : 69917
  Output size     : 23233016 bytes
  Generated       : 2026-04-24 12:19:20
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:14:00 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tataplay.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 1097 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [144/2194] tataplay.com (en) - 557 - Apr 24, 2026 (44 programs)
ℹ   [145/2194] tataplay.com (en) - 557 - Apr 25, 2026 (44 programs)
ℹ   [146/2194] tataplay.com (en) - 556 - Apr 24, 2026 (25 programs)
ℹ   [147/2194] tataplay.com (en) - 556 - Apr 25, 2026 (22 programs)
ℹ   [148/2194] tataplay.com (en) - 552 - Apr 25, 2026 (47 programs)
ℹ   [149/2194] tataplay.com (en) - 559 - Apr 24, 2026 (48 programs)
ℹ   [150/2194] tataplay.com (en) - 559 - Apr 25, 2026 (48 programs)
ℹ   [151/2194] tataplay.com (en) - 558 - Apr 24, 2026 (14 programs)
ℹ   [152/2194] tataplay.com (en) - 558 - Apr 25, 2026 (7 programs)
ℹ   [153/2194] tataplay.com (en) - 568 - Apr 24, 2026 (52 programs)
ℹ   [154/2194] tataplay.com (en) - 571 - Apr 24, 2026 (20 programs)
ℹ   [155/2194] tataplay.com (en) - 568 - Apr 25, 2026 (52 programs)
ℹ   [156/2194] tataplay.com (en) - 571 - Apr 25, 2026 (21 programs)
ℹ   [157/2194] tataplay.com (en) - 578 - Apr 24, 2026 (41 programs)
ℹ   [158/2194] tataplay.com (en) - 587 - Apr 25, 2026 (11 programs)
ℹ   [159/2194] tataplay.com (en) - 578 - Apr 25, 2026 (35 programs)
ℹ   [160/2194] tataplay.com (en) - 587 - Apr 24, 2026 (16 programs)
ℹ   [161/2194] tataplay.com (en) - 594 - Apr 24, 2026 (27 programs)
ℹ   [162/2194] tataplay.com (en) - 594 - Apr 25, 2026 (27 programs)
ℹ   [163/2194] tataplay.com (en) - 614 - Apr 24, 2026 (18 programs)
ℹ   [164/2194] tataplay.com (en) - 614 - Apr 25, 2026 (18 programs)
ℹ   [165/2194] tataplay.com (en) - 616 - Apr 24, 2026 (43 programs)
ℹ   [166/2194] tataplay.com (en) - 622 - Apr 25, 2026 (27 programs)
ℹ   [167/2194] tataplay.com (en) - 616 - Apr 25, 2026 (43 programs)
ℹ   [168/2194] tataplay.com (en) - 622 - Apr 24, 2026 (27 programs)
ℹ   [169/2194] tataplay.com (en) - 626 - Apr 24, 2026 (24 programs)
ℹ   [170/2194] tataplay.com (en) - 626 - Apr 25, 2026 (24 programs)
ℹ   [171/2194] tataplay.com (en) - 627 - Apr 25, 2026 (24 programs)
ℹ   [172/2194] tataplay.com (en) - 627 - Apr 24, 2026 (24 programs)
ℹ   [173/2194] tataplay.com (en) - 645 - Apr 24, 2026 (24 programs)
ℹ   [174/2194] tataplay.com (en) - 643 - Apr 25, 2026 (48 programs)
ℹ   [175/2194] tataplay.com (en) - 641 - Apr 25, 2026 (48 programs)
ℹ   [176/2194] tataplay.com (en) - 641 - Apr 24, 2026 (48 programs)
ℹ   [177/2194] tataplay.com (en) - 646 - Apr 24, 2026 (48 programs)
ℹ   [178/2194] tataplay.com (en) - 646 - Apr 25, 2026 (48 programs)
ℹ   [179/2194] tataplay.com (en) - 645 - Apr 25, 2026 (24 programs)
ℹ   [180/2194] tataplay.com (en) - 657 - Apr 24, 2026 (18 programs)
ℹ   [181/2194] tataplay.com (en) - 657 - Apr 25, 2026 (18 programs)
