═══════════════════════════════════════════════════════════════
  Site            : tvtv.us
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 374s
  Channels        : 4598
  With programmes : 398
  Empty channels  : 4200
  Total programs  : 12033
  Output size     : 2294927 bytes
  HTTP errors     :
    4190 status code 429
    8 status code 403
  Last error      : Request failed with status code 429
  Generated       : 2026-04-24 13:03:58
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:57:44 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tvtv.us --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 2299 channel(s)
ℹ   [102/4598] tvtv.us (en) - 10601 - Apr 25, 2026 (48 programs)
ℹ   [103/4598] tvtv.us (en) - CartoonNetwork.ca@SD - Apr 24, 2026 (31 programs)
ℹ   [104/4598] tvtv.us (en) - CartoonNetwork.ca@SD - Apr 25, 2026 (21 programs)
ℹ   [105/4598] tvtv.us (en) - CBSSportsNetworkCanada.ca@SD - Apr 24, 2026 (35 programs)
ℹ   [106/4598] tvtv.us (en) - AMItv.ca@SD - Apr 24, 2026 (35 programs)
ℹ   [107/4598] tvtv.us (en) - CBSSportsNetworkCanada.ca@SD - Apr 25, 2026 (32 programs)
ℹ   [108/4598] tvtv.us (en) - AMItv.ca@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [109/4598] tvtv.us (en) - Lifetime.us@West - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [110/4598] tvtv.us (en) - MSG.us@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [111/4598] tvtv.us (en) - MSG.us@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [112/4598] tvtv.us (en) - Lifetime.us@West - Apr 24, 2026 (29 programs)
ℹ   [113/4598] tvtv.us (en) - MTV.us@East - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [114/4598] tvtv.us (en) - E.us@East - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [115/4598] tvtv.us (en) - MTV.us@East - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [116/4598] tvtv.us (en) - E.us@East - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [117/4598] tvtv.us (en) - NBC.us@East - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [118/4598] tvtv.us (en) - NBC.us@East - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [119/4598] tvtv.us (en) - News12LongIsland.us@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [120/4598] tvtv.us (en) - NESN.us@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [121/4598] tvtv.us (en) - NESN.us@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [122/4598] tvtv.us (en) - News12LongIsland.us@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [123/4598] tvtv.us (en) - NECN.us@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [124/4598] tvtv.us (en) - Nickelodeon.us@East - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [125/4598] tvtv.us (en) - Nickelodeon.us@East - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [126/4598] tvtv.us (en) - NECN.us@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [127/4598] tvtv.us (en) - Nickelodeon.us@West - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [128/4598] tvtv.us (en) - Nickelodeon.us@West - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [129/4598] tvtv.us (en) - ShopTV.ph@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [130/4598] tvtv.us (en) - ATNMovies.ca@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [131/4598] tvtv.us (en) - ShopTV.ph@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [132/4598] tvtv.us (en) - ATNMovies.ca@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [133/4598] tvtv.us (en) - 11054 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [134/4598] tvtv.us (en) - 11054 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [135/4598] tvtv.us (en) - RootSportsNorthwest.us@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [136/4598] tvtv.us (en) - RootSportsNorthwest.us@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [137/4598] tvtv.us (en) - ATTSportsNetRockyMountainWest.us@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [138/4598] tvtv.us (en) - ATTSportsNetRockyMountainWest.us@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [139/4598] tvtv.us (en) - INSP.us@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [140/4598] tvtv.us (en) - INSP.us@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [141/4598] tvtv.us (en) - QVC.us@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [142/4598] tvtv.us (en) - QVC.us@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [143/4598] tvtv.us (en) - 11095 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [144/4598] tvtv.us (en) - 11095 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [145/4598] tvtv.us (en) - NBCSportsBoston.us@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [146/4598] tvtv.us (en) - NBCSportsBoston.us@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [147/4598] tvtv.us (en) - MSGPlus.us@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [148/4598] tvtv.us (en) - MSGPlus.us@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [149/4598] tvtv.us (en) - 11106 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [150/4598] tvtv.us (en) - 11106 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [151/4598] tvtv.us (en) - Showtime.us@East - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [152/4598] tvtv.us (en) - Showtime.us@East - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [153/4598] tvtv.us (en) - Showtime2.us@East - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [154/4598] tvtv.us (en) - Showtime2.us@East - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [155/4598] tvtv.us (en) - Showtime.us@West - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [156/4598] tvtv.us (en) - Showtime.us@West - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [157/4598] tvtv.us (en) - 11129 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [158/4598] tvtv.us (en) - 11129 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [159/4598] tvtv.us (en) - 11141 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [160/4598] tvtv.us (en) - 11141 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [161/4598] tvtv.us (en) - TheFamilyChannel.us@East - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [162/4598] tvtv.us (en) - TheFamilyChannel.us@East - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [163/4598] tvtv.us (en) - TLC.us@East - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [164/4598] tvtv.us (en) - TLC.us@East - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [165/4598] tvtv.us (en) - TheMovieChannel.us@East - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [166/4598] tvtv.us (en) - TheMovieChannel.us@East - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [167/4598] tvtv.us (en) - ParamountNetwork.us@East - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [168/4598] tvtv.us (en) - ParamountNetwork.us@East - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [169/4598] tvtv.us (en) - TSN1.ca@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [170/4598] tvtv.us (en) - TheWeatherChannel.us@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [171/4598] tvtv.us (en) - TSN1.ca@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [172/4598] tvtv.us (en) - TheWeatherChannel.us@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [173/4598] tvtv.us (en) - USANetwork.us@East - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [174/4598] tvtv.us (en) - USANetwork.us@West - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [175/4598] tvtv.us (en) - USANetwork.us@East - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [176/4598] tvtv.us (en) - USANetwork.us@West - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [177/4598] tvtv.us (en) - VH1.us@East - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [178/4598] tvtv.us (en) - VH1.us@East - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [179/4598] tvtv.us (en) - HallmarkChannel.us@East - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [180/4598] tvtv.us (en) - NTDTV.us@East - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [181/4598] tvtv.us (en) - HallmarkChannel.us@East - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [182/4598] tvtv.us (en) - NTDTV.us@East - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [183/4598] tvtv.us (en) - WATETV61.us@HD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [184/4598] tvtv.us (en) - WBIRTV101.us@HD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [185/4598] tvtv.us (en) - WATETV61.us@HD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [186/4598] tvtv.us (en) - WBIRTV101.us@HD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [187/4598] tvtv.us (en) - Investigation.ca@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [188/4598] tvtv.us (en) - Investigation.ca@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [189/4598] tvtv.us (en) - WNPIDT182.us@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [190/4598] tvtv.us (en) - WNPIDT182.us@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [191/4598] tvtv.us (en) - FairchildTV2.ca@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [192/4598] tvtv.us (en) - FairchildTV2.ca@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [193/4598] tvtv.us (en) - WorldHarvestTV.us@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [194/4598] tvtv.us (en) - 11523 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
ℹ   [195/4598] tvtv.us (en) - 11523 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 429
