═══════════════════════════════════════════════════════════════
  Site            : freeview.co.uk
  Status          : PASS
  Attempts used   : 4 / 10
  Total elapsed   : 4486s
  Channels        : 2343
  With programmes : 2339
  Empty channels  : 4
  Total programs  : 17611
  Output size     : 6500581 bytes
  Generated       : 2026-04-24 12:12:18
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 10:57:32 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=freeview.co.uk --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 352 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [124/704] freeview.co.uk (en) - 64265#6220 - Apr 25, 2026 (11 programs)
ℹ   [125/704] freeview.co.uk (en) - 64265#6273 - Apr 24, 2026 (7 programs)
ℹ   [126/704] freeview.co.uk (en) - 64265#6273 - Apr 25, 2026 (9 programs)
ℹ   [127/704] freeview.co.uk (en) - 64269#6156 - Apr 25, 2026 (9 programs)
ℹ   [128/704] freeview.co.uk (en) - 64269#6156 - Apr 24, 2026 (7 programs)
ℹ   [129/704] freeview.co.uk (en) - 64257#34432 - Apr 25, 2026 (93 programs)
ℹ   [130/704] freeview.co.uk (en) - 64257#34432 - Apr 24, 2026 (95 programs)
ℹ   [131/704] freeview.co.uk (en) - 64273#32851 - Apr 24, 2026 (30 programs)
ℹ   [132/704] freeview.co.uk (en) - 64270#32870 - Apr 25, 2026 (31 programs)
ℹ   [133/704] freeview.co.uk (en) - 64270#32870 - Apr 24, 2026 (42 programs)
ℹ   [134/704] freeview.co.uk (en) - 64274#32874 - Apr 24, 2026 (30 programs)
ℹ   [135/704] freeview.co.uk (en) - 64273#32851 - Apr 25, 2026 (36 programs)
ℹ   [136/704] freeview.co.uk (en) - 64275#32839 - Apr 24, 2026 (34 programs)
ℹ   [137/704] freeview.co.uk (en) - 64274#32874 - Apr 25, 2026 (36 programs)
ℹ   [138/704] freeview.co.uk (en) - 64275#32839 - Apr 25, 2026 (32 programs)
ℹ   [139/704] freeview.co.uk (en) - 64289#32873 - Apr 24, 2026 (30 programs)
ℹ   [140/704] freeview.co.uk (en) - 64297#6155 - Apr 24, 2026 (7 programs)
ℹ   [141/704] freeview.co.uk (en) - 64289#32873 - Apr 25, 2026 (36 programs)
ℹ   [142/704] freeview.co.uk (en) - 64297#6209 - Apr 24, 2026 (7 programs)
ℹ   [143/704] freeview.co.uk (en) - 64297#6155 - Apr 25, 2026 (9 programs)
ℹ   [144/704] freeview.co.uk (en) - 64297#6209 - Apr 25, 2026 (11 programs)
ℹ   [145/704] freeview.co.uk (en) - 64290#32857 - Apr 24, 2026 (30 programs)
ℹ   [146/704] freeview.co.uk (en) - 64300#6151 - Apr 25, 2026 (9 programs)
ℹ   [147/704] freeview.co.uk (en) - 64290#32857 - Apr 25, 2026 (36 programs)
ℹ   [148/704] freeview.co.uk (en) - 64300#6151 - Apr 24, 2026 (8 programs)
ℹ   [149/704] freeview.co.uk (en) - 64300#6221 - Apr 24, 2026 (7 programs)
ℹ   [150/704] freeview.co.uk (en) - 64297#32850 - Apr 24, 2026 (30 programs)
ℹ   [151/704] freeview.co.uk (en) - 64300#6285 - Apr 24, 2026 (7 programs)
ℹ   [152/704] freeview.co.uk (en) - 64300#6221 - Apr 25, 2026 (10 programs)
ℹ   [153/704] freeview.co.uk (en) - 64297#32850 - Apr 25, 2026 (36 programs)
ℹ   [154/704] freeview.co.uk (en) - 64300#6285 - Apr 25, 2026 (11 programs)
ℹ   [155/704] freeview.co.uk (en) - 64304#6215 - Apr 25, 2026 (10 programs)
ℹ   [156/704] freeview.co.uk (en) - 64304#6215 - Apr 24, 2026 (7 programs)
ℹ   [157/704] freeview.co.uk (en) - 64320#6145 - Apr 24, 2026 (8 programs)
ℹ   [158/704] freeview.co.uk (en) - 64305#32841 - Apr 24, 2026 (30 programs)
ℹ   [159/704] freeview.co.uk (en) - 64320#6145 - Apr 25, 2026 (10 programs)
ℹ   [160/704] freeview.co.uk (en) - 64320#6337 - Apr 24, 2026 (7 programs)
ℹ   [161/704] freeview.co.uk (en) - 64313#32858 - Apr 24, 2026 (30 programs)
ℹ   [162/704] freeview.co.uk (en) - 64320#6337 - Apr 25, 2026 (12 programs)
ℹ   [163/704] freeview.co.uk (en) - 64305#32841 - Apr 25, 2026 (36 programs)
ℹ   [164/704] freeview.co.uk (en) - 64313#32858 - Apr 25, 2026 (36 programs)
ℹ   [165/704] freeview.co.uk (en) - 64328#6146 - Apr 24, 2026 (7 programs)
ℹ   [166/704] freeview.co.uk (en) - 64328#6146 - Apr 25, 2026 (7 programs)
ℹ   [167/704] freeview.co.uk (en) - 64328#6210 - Apr 24, 2026 (7 programs)
ℹ   [168/704] freeview.co.uk (en) - 64334#6158 - Apr 24, 2026 (6 programs)
ℹ   [169/704] freeview.co.uk (en) - 64334#6158 - Apr 25, 2026 (7 programs)
ℹ   [170/704] freeview.co.uk (en) - 64328#6210 - Apr 25, 2026 (11 programs)
ℹ   [171/704] freeview.co.uk (en) - 64334#6222 - Apr 24, 2026 (6 programs)
ℹ   [172/704] freeview.co.uk (en) - 64321#32834 - Apr 24, 2026 (32 programs)
ℹ   [173/704] freeview.co.uk (en) - 64334#6222 - Apr 25, 2026 (7 programs)
ℹ   [174/704] freeview.co.uk (en) - 64336#6149 - Apr 24, 2026 (7 programs)
ℹ   [175/704] freeview.co.uk (en) - 64321#32834 - Apr 25, 2026 (32 programs)
ℹ   [176/704] freeview.co.uk (en) - 64336#6213 - Apr 24, 2026 (7 programs)
ℹ   [177/704] freeview.co.uk (en) - 64336#6149 - Apr 25, 2026 (10 programs)
ℹ   [178/704] freeview.co.uk (en) - 64336#6214 - Apr 24, 2026 (7 programs)
ℹ   [179/704] freeview.co.uk (en) - 64336#6213 - Apr 25, 2026 (9 programs)
ℹ   [180/704] freeview.co.uk (en) - 64336#6277 - Apr 24, 2026 (7 programs)
ℹ   [181/704] freeview.co.uk (en) - 64336#6214 - Apr 25, 2026 (9 programs)
ℹ   [182/704] freeview.co.uk (en) - 64336#6277 - Apr 25, 2026 (7 programs)
ℹ   [183/704] freeview.co.uk (en) - 64336#6341 - Apr 24, 2026 (7 programs)
ℹ   [184/704] freeview.co.uk (en) - 64336#6405 - Apr 24, 2026 (7 programs)
