═══════════════════════════════════════════════════════════════
  Site            : epg.telemach.ba
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 106s
  Channels        : 952
  With programmes : 668
  Empty channels  : 284
  Total programs  : 24179
  Output size     : 10845555 bytes
  HTTP errors     :
    284 status code 400
  Last error      : Request failed with status code 400
  Generated       : 2026-04-24 10:56:10
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 10:54:24 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=epg.telemach.ba --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 476 channel(s)
ℹ loading api data...
ℹ   [173/952] epg.telemach.ba (hr) - 1497 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 400
ℹ   [174/952] epg.telemach.ba (hr) - 1497 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 400
ℹ   [175/952] epg.telemach.ba (hr) - 1495 - Apr 24, 2026 (93 programs)
ℹ   [176/952] epg.telemach.ba (hr) - 1498 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 400
ℹ   [177/952] epg.telemach.ba (hr) - 1498 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 400
ℹ   [178/952] epg.telemach.ba (hr) - 1495 - Apr 25, 2026 (92 programs)
ℹ   [179/952] epg.telemach.ba (hr) - 1500 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 400
ℹ   [180/952] epg.telemach.ba (hr) - 1500 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 400
ℹ   [181/952] epg.telemach.ba (hr) - 1501 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 400
ℹ   [182/952] epg.telemach.ba (hr) - 1501 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 400
ℹ   [183/952] epg.telemach.ba (hr) - 1502 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 400
ℹ   [184/952] epg.telemach.ba (hr) - 1502 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 400
ℹ   [185/952] epg.telemach.ba (hr) - 1503 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 400
ℹ   [186/952] epg.telemach.ba (hr) - 1503 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 400
ℹ   [187/952] epg.telemach.ba (hr) - 1505 - Apr 25, 2026 (18 programs)
ℹ   [188/952] epg.telemach.ba (hr) - 1505 - Apr 24, 2026 (15 programs)
ℹ   [189/952] epg.telemach.ba (hr) - 1507 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 400
ℹ   [190/952] epg.telemach.ba (hr) - 1507 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 400
ℹ   [191/952] epg.telemach.ba (hr) - 1506 - Apr 25, 2026 (64 programs)
ℹ   [192/952] epg.telemach.ba (hr) - 1508 - Apr 24, 2026 (15 programs)
ℹ   [193/952] epg.telemach.ba (hr) - 1508 - Apr 25, 2026 (15 programs)
ℹ   [194/952] epg.telemach.ba (hr) - 1506 - Apr 24, 2026 (65 programs)
ℹ   [195/952] epg.telemach.ba (hr) - 1509 - Apr 25, 2026 (14 programs)
ℹ   [196/952] epg.telemach.ba (hr) - 1509 - Apr 24, 2026 (23 programs)
ℹ   [197/952] epg.telemach.ba (hr) - 1510 - Apr 24, 2026 (355 programs)
ℹ   [198/952] epg.telemach.ba (hr) - 1512 - Apr 24, 2026 (67 programs)
ℹ   [199/952] epg.telemach.ba (hr) - 1511 - Apr 25, 2026 (75 programs)
ℹ   [200/952] epg.telemach.ba (hr) - 1511 - Apr 24, 2026 (82 programs)
ℹ   [201/952] epg.telemach.ba (hr) - 1513 - Apr 24, 2026 (138 programs)
ℹ   [202/952] epg.telemach.ba (hr) - 1514 - Apr 24, 2026 (13 programs)
ℹ   [203/952] epg.telemach.ba (hr) - 1513 - Apr 25, 2026 (127 programs)
ℹ   [204/952] epg.telemach.ba (hr) - 1512 - Apr 25, 2026 (71 programs)
ℹ   [205/952] epg.telemach.ba (hr) - 1514 - Apr 25, 2026 (13 programs)
ℹ   [206/952] epg.telemach.ba (hr) - 1510 - Apr 25, 2026 (353 programs)
ℹ   [207/952] epg.telemach.ba (hr) - 1519 - Apr 24, 2026 (32 programs)
ℹ   [208/952] epg.telemach.ba (hr) - 1518 - Apr 24, 2026 (33 programs)
ℹ   [209/952] epg.telemach.ba (hr) - 1518 - Apr 25, 2026 (34 programs)
ℹ   [210/952] epg.telemach.ba (hr) - 1519 - Apr 25, 2026 (41 programs)
ℹ   [211/952] epg.telemach.ba (hr) - 1520 - Apr 25, 2026 (13 programs)
ℹ   [212/952] epg.telemach.ba (hr) - 1520 - Apr 24, 2026 (13 programs)
ℹ   [213/952] epg.telemach.ba (hr) - 1522 - Apr 25, 2026 (15 programs)
ℹ   [214/952] epg.telemach.ba (hr) - 1522 - Apr 24, 2026 (15 programs)
ℹ   [215/952] epg.telemach.ba (hr) - 1523 - Apr 24, 2026 (13 programs)
ℹ   [216/952] epg.telemach.ba (hr) - 1523 - Apr 25, 2026 (13 programs)
ℹ   [217/952] epg.telemach.ba (hr) - 1524 - Apr 25, 2026 (30 programs)
ℹ   [218/952] epg.telemach.ba (hr) - 1524 - Apr 24, 2026 (31 programs)
ℹ   [219/952] epg.telemach.ba (hr) - 1526 - Apr 24, 2026 (90 programs)
ℹ   [220/952] epg.telemach.ba (hr) - 1527 - Apr 24, 2026 (49 programs)
ℹ   [221/952] epg.telemach.ba (hr) - 1526 - Apr 25, 2026 (91 programs)
ℹ   [222/952] epg.telemach.ba (hr) - 1582 - Apr 24, 2026 (28 programs)
ℹ   [223/952] epg.telemach.ba (hr) - 1527 - Apr 25, 2026 (45 programs)
ℹ   [224/952] epg.telemach.ba (hr) - 1582 - Apr 25, 2026 (13 programs)
ℹ   [225/952] epg.telemach.ba (hr) - 1583 - Apr 24, 2026 (28 programs)
ℹ   [226/952] epg.telemach.ba (hr) - 1584 - Apr 24, 2026 (26 programs)
ℹ   [227/952] epg.telemach.ba (hr) - 1584 - Apr 25, 2026 (15 programs)
ℹ   [228/952] epg.telemach.ba (hr) - 1583 - Apr 25, 2026 (16 programs)
ℹ   [229/952] epg.telemach.ba (hr) - 1585 - Apr 24, 2026 (30 programs)
ℹ   [230/952] epg.telemach.ba (hr) - 1585 - Apr 25, 2026 (21 programs)
ℹ   [231/952] epg.telemach.ba (hr) - 1591 - Apr 24, 2026 (31 programs)
ℹ   [232/952] epg.telemach.ba (hr) - 1591 - Apr 25, 2026 (24 programs)
ℹ   [233/952] epg.telemach.ba (hr) - 1587 - Apr 25, 2026 (103 programs)
ℹ   [234/952] epg.telemach.ba (hr) - 1592 - Apr 24, 2026 (23 programs)
ℹ   [235/952] epg.telemach.ba (hr) - 1587 - Apr 24, 2026 (95 programs)
ℹ   [236/952] epg.telemach.ba (hr) - 1592 - Apr 25, 2026 (18 programs)
ℹ   [237/952] epg.telemach.ba (hr) - 1593 - Apr 25, 2026 (30 programs)
ℹ   [238/952] epg.telemach.ba (hr) - 1593 - Apr 24, 2026 (32 programs)
ℹ   [239/952] epg.telemach.ba (hr) - 1594 - Apr 24, 2026 (14 programs)
ℹ   [240/952] epg.telemach.ba (hr) - 1594 - Apr 25, 2026 (14 programs)
ℹ   [241/952] epg.telemach.ba (hr) - 1595 - Apr 24, 2026 (23 programs)
ℹ   [242/952] epg.telemach.ba (hr) - 1596 - Apr 24, 2026 (28 programs)
ℹ   [243/952] epg.telemach.ba (hr) - 1595 - Apr 25, 2026 (21 programs)
ℹ   [244/952] epg.telemach.ba (hr) - 1596 - Apr 25, 2026 (23 programs)
ℹ   [245/952] epg.telemach.ba (hr) - 1597 - Apr 24, 2026 (25 programs)
ℹ   [246/952] epg.telemach.ba (hr) - 1597 - Apr 25, 2026 (24 programs)
ℹ   [247/952] epg.telemach.ba (hr) - 1598 - Apr 25, 2026 (12 programs)
ℹ   [248/952] epg.telemach.ba (hr) - 1598 - Apr 24, 2026 (12 programs)
ℹ   [249/952] epg.telemach.ba (hr) - 1599 - Apr 24, 2026 (26 programs)
ℹ   [250/952] epg.telemach.ba (hr) - 1599 - Apr 25, 2026 (25 programs)
ℹ   [251/952] epg.telemach.ba (hr) - 1601 - Apr 24, 2026 (13 programs)
ℹ   [252/952] epg.telemach.ba (hr) - 1600 - Apr 24, 2026 (36 programs)
ℹ   [253/952] epg.telemach.ba (hr) - 1601 - Apr 25, 2026 (13 programs)
ℹ   [254/952] epg.telemach.ba (hr) - 1600 - Apr 25, 2026 (33 programs)
ℹ   [255/952] epg.telemach.ba (hr) - 1604 - Apr 24, 2026 (28 programs)
ℹ   [256/952] epg.telemach.ba (hr) - 1605 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 400
ℹ   [257/952] epg.telemach.ba (hr) - 1604 - Apr 25, 2026 (28 programs)
ℹ   [258/952] epg.telemach.ba (hr) - 1605 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 400
ℹ   [259/952] epg.telemach.ba (hr) - 1606 - Apr 24, 2026 (32 programs)
