═══════════════════════════════════════════════════════════════
  Site            : epgshare01.online
  Status          : TIMEOUT
  Attempts used   : 10 / 10
  Total elapsed   : 632s
  Channels        : 3920
  With programmes : 2097
  Empty channels  : 1823
  Total programs  : 0
  Output size     : 0 bytes
  Generated       : 2026-04-24 11:04:30
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 10:53:58 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=epgshare01.online --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 20706 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [99/41412] epgshare01.online (es) - AR1#Canal.Más.Chic.Latinoamérica.ar - Apr 24, 2026 (0 programs)
ℹ   [100/41412] epgshare01.online (es) - AR1#Canal.Más.Chic.Latinoamérica.ar - Apr 25, 2026 (0 programs)
ℹ   [101/41412] epgshare01.online (es) - AR1#Canal.MTV.00s.ar - Apr 24, 2026 (0 programs)
ℹ   [102/41412] epgshare01.online (es) - AR1#Canal.MTV.00s.ar - Apr 25, 2026 (0 programs)
ℹ   [103/41412] epgshare01.online (es) - AR1#Canal.MTV.80s.ar - Apr 24, 2026 (0 programs)
ℹ   [104/41412] epgshare01.online (es) - AR1#Canal.MTV.80s.ar - Apr 25, 2026 (0 programs)
ℹ   [105/41412] epgshare01.online (es) - AR1#Canal.MTV.(Argentina).ar - Apr 24, 2026 (0 programs)
ℹ   [106/41412] epgshare01.online (es) - AR1#Canal.MTV.(Argentina).ar - Apr 25, 2026 (0 programs)
ℹ   [107/41412] epgshare01.online (es) - AR1#Canal.MTV.Hits.ar - Apr 24, 2026 (0 programs)
ℹ   [108/41412] epgshare01.online (es) - AR1#Canal.MTV.Hits.ar - Apr 25, 2026 (0 programs)
ℹ   [109/41412] epgshare01.online (es) - AR1#Canal.MTV.Live.HD.ar - Apr 24, 2026 (0 programs)
ℹ   [110/41412] epgshare01.online (es) - AR1#Canal.MTV.Live.HD.ar - Apr 25, 2026 (0 programs)
ℹ   [111/41412] epgshare01.online (es) - AR1#Canal.NHK.World.ar - Apr 24, 2026 (0 programs)
ℹ   [112/41412] epgshare01.online (es) - AR1#Canal.NHK.World.ar - Apr 25, 2026 (0 programs)
ℹ   [113/41412] epgshare01.online (es) - AR1#Canal.Nick.Jr..(Argentina).ar - Apr 24, 2026 (0 programs)
ℹ   [114/41412] epgshare01.online (es) - AR1#Canal.Nick.Jr..(Argentina).ar - Apr 25, 2026 (0 programs)
ℹ   [115/41412] epgshare01.online (es) - AR1#Canal.NickMusic.ar - Apr 24, 2026 (0 programs)
ℹ   [116/41412] epgshare01.online (es) - AR1#Canal.NickMusic.ar - Apr 25, 2026 (0 programs)
ℹ   [117/41412] epgshare01.online (es) - AR1#Canal.NTN24.(Nuestra.Tele.Noticias.24.Horas).ar - Apr 24, 2026 (0 programs)
