═══════════════════════════════════════════════════════════════
  Site            : ontvtonight.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 576s
  Channels        : 10354
  With programmes : 232
  Empty channels  : 10122
  Total programs  : 6118
  Output size     : 1745962 bytes
  HTTP errors     :
    10120 status code 405
  Last error      : Request failed with status code 405
  Generated       : 2026-04-24 11:41:11
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:31:35 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=ontvtonight.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 5177 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [130/10354] ontvtonight.com (en) - au#1703/7two - Apr 25, 2026 (26 programs)
ℹ   [131/10354] ontvtonight.com (en) - au#1704/7two - Apr 24, 2026 (31 programs)
ℹ   [132/10354] ontvtonight.com (en) - au#1704/7two - Apr 25, 2026 (26 programs)
ℹ   [133/10354] ontvtonight.com (en) - au#1705/7two - Apr 24, 2026 (31 programs)
ℹ   [134/10354] ontvtonight.com (en) - au#1705/7two - Apr 25, 2026 (26 programs)
ℹ   [135/10354] ontvtonight.com (en) - au#1706/7two - Apr 24, 2026 (31 programs)
ℹ   [136/10354] ontvtonight.com (en) - au#1706/7two - Apr 25, 2026 (26 programs)
ℹ   [137/10354] ontvtonight.com (en) - au#1707/7two - Apr 24, 2026 (31 programs)
ℹ   [138/10354] ontvtonight.com (en) - au#1707/7two - Apr 25, 2026 (26 programs)
ℹ   [139/10354] ontvtonight.com (en) - au#1708/7mate - Apr 24, 2026 (23 programs)
ℹ   [140/10354] ontvtonight.com (en) - au#1708/7mate - Apr 25, 2026 (33 programs)
ℹ   [141/10354] ontvtonight.com (en) - au#1709/7mate - Apr 24, 2026 (23 programs)
ℹ   [142/10354] ontvtonight.com (en) - au#1709/7mate - Apr 25, 2026 (33 programs)
