═══════════════════════════════════════════════════════════════
  Site            : epg.112114.xyz
  Status          : TIMEOUT
  Attempts used   : 10 / 10
  Total elapsed   : 12046s
  Channels        : 2027
  With programmes : 0
  Empty channels  : 2027
  Total programs  : 0
  Output size     : 0 bytes
  HTTP errors     :
    170 status code 522
  Other errors    :
    1743 timeout of 30000ms exceeded
  Last error      : timeout of 30000ms exceeded
  Generated       : 2026-04-24 14:12:10
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 10:51:24 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=epg.112114.xyz --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [88/1884] epg.112114.xyz (zh) - CDTV1 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [89/1884] epg.112114.xyz (zh) - CDTV2 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [90/1884] epg.112114.xyz (zh) - CDTV2 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [91/1884] epg.112114.xyz (zh) - CDTV3 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [92/1884] epg.112114.xyz (zh) - CDTV3 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [93/1884] epg.112114.xyz (zh) - CDTV4 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [94/1884] epg.112114.xyz (zh) - CDTV4 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [95/1884] epg.112114.xyz (zh) - CDTV5 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [96/1884] epg.112114.xyz (zh) - CDTV5 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [97/1884] epg.112114.xyz (zh) - CDTV6 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [98/1884] epg.112114.xyz (zh) - CDTV6 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [99/1884] epg.112114.xyz (zh) - CETV1 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [100/1884] epg.112114.xyz (zh) - CETV1 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [101/1884] epg.112114.xyz (zh) - CETV2 - Apr 24, 2026 (0 programs)
ℹ   [101/1884] epg.112114.xyz (zh) - CETV2 - Apr 24, 2026 (0 programs)
ℹ   [102/1884] epg.112114.xyz (zh) - CETV2 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [103/1884] epg.112114.xyz (zh) - CETV3 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [104/1884] epg.112114.xyz (zh) - CETV3 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [105/1884] epg.112114.xyz (zh) - CETV4 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [106/1884] epg.112114.xyz (zh) - CETV4 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [107/1884] epg.112114.xyz (zh) - CGTN - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [108/1884] epg.112114.xyz (zh) - CGTN - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [109/1884] epg.112114.xyz (zh) - CGTN俄语 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [110/1884] epg.112114.xyz (zh) - CGTN俄语 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [111/1884] epg.112114.xyz (zh) - CGTN法语 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [112/1884] epg.112114.xyz (zh) - CGTN法语 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [113/1884] epg.112114.xyz (zh) - CGTN纪录 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [114/1884] epg.112114.xyz (zh) - CGTN纪录 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [115/1884] epg.112114.xyz (zh) - CGTN西语 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [116/1884] epg.112114.xyz (zh) - CGTN西语 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [117/1884] epg.112114.xyz (zh) - CGTN阿语 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [118/1884] epg.112114.xyz (zh) - CGTN阿语 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [119/1884] epg.112114.xyz (zh) - CHC动作电影 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [120/1884] epg.112114.xyz (zh) - CHC动作电影 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [121/1884] epg.112114.xyz (zh) - CHC家庭影院 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [122/1884] epg.112114.xyz (zh) - CHC家庭影院 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [123/1884] epg.112114.xyz (zh) - CHC影迷电影 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [124/1884] epg.112114.xyz (zh) - CHC影迷电影 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [125/1884] epg.112114.xyz (zh) - CHC高清电影 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [126/1884] epg.112114.xyz (zh) - CHC高清电影 - Apr 25, 2026 (0 programs)
ℹ   [126/1884] epg.112114.xyz (zh) - CHC高清电影 - Apr 25, 2026 (0 programs)
ℹ   [127/1884] epg.112114.xyz (zh) - CINEMAX热门影院 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [128/1884] epg.112114.xyz (zh) - CINEMAX热门影院 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [129/1884] epg.112114.xyz (zh) - CMC北美 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [130/1884] epg.112114.xyz (zh) - CMC北美 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [131/1884] epg.112114.xyz (zh) - CMC香港 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [132/1884] epg.112114.xyz (zh) - CMC香港 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [133/1884] epg.112114.xyz (zh) - CNC中文 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [134/1884] epg.112114.xyz (zh) - CNC中文 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [135/1884] epg.112114.xyz (zh) - CNC英文 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [136/1884] epg.112114.xyz (zh) - CNC英文 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [137/1884] epg.112114.xyz (zh) - DONGFANG1 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [138/1884] epg.112114.xyz (zh) - DONGFANG1 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [139/1884] epg.112114.xyz (zh) - DOX4K - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [140/1884] epg.112114.xyz (zh) - DOX4K - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [141/1884] epg.112114.xyz (zh) - FZTV1 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [142/1884] epg.112114.xyz (zh) - FZTV1 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [143/1884] epg.112114.xyz (zh) - HBO - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [144/1884] epg.112114.xyz (zh) - HBO - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [145/1884] epg.112114.xyz (zh) - HBO原创巨献 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [146/1884] epg.112114.xyz (zh) - HBO原创巨献 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [147/1884] epg.112114.xyz (zh) - HBO强档巨献 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [148/1884] epg.112114.xyz (zh) - HBO强档巨献 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [149/1884] epg.112114.xyz (zh) - HBO溫馨家庭 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [150/1884] epg.112114.xyz (zh) - HBO溫馨家庭 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [151/1884] epg.112114.xyz (zh) - HNXTTV1 - Apr 24, 2026 (0 programs)
ℹ   [151/1884] epg.112114.xyz (zh) - HNXTTV1 - Apr 24, 2026 (0 programs)
ℹ   [152/1884] epg.112114.xyz (zh) - HNXTTV1 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [153/1884] epg.112114.xyz (zh) - HNZKTV1 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [154/1884] epg.112114.xyz (zh) - HNZKTV1 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [155/1884] epg.112114.xyz (zh) - HNZKTV2 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [156/1884] epg.112114.xyz (zh) - HNZKTV2 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [157/1884] epg.112114.xyz (zh) - HNZKTV3 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [158/1884] epg.112114.xyz (zh) - HNZKTV3 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [159/1884] epg.112114.xyz (zh) - HNZKTV4 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [160/1884] epg.112114.xyz (zh) - HNZKTV4 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [161/1884] epg.112114.xyz (zh) - HOY76 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [162/1884] epg.112114.xyz (zh) - HOY76 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [163/1884] epg.112114.xyz (zh) - HOY77 - Apr 24, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
ℹ   [164/1884] epg.112114.xyz (zh) - HOY77 - Apr 25, 2026 (0 programs)
ℹ     ERR: timeout of 30000ms exceeded
