═══════════════════════════════════════════════════════════════
  Site            : dsmart.com.tr
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 27s
  Channels        : 200
  With programmes : 169
  Empty channels  : 31
  Total programs  : 5149
  Output size     : 1583812 bytes
  Generated       : 2026-04-24 10:50:35
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 10:50:08 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=dsmart.com.tr --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 100 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [137/200] dsmart.com.tr (tr) - FX.us@East - Apr 24, 2026 (34 programs)
ℹ   [138/200] dsmart.com.tr (tr) - FX.us@East - Apr 25, 2026 (31 programs)
ℹ   [139/200] dsmart.com.tr (tr) - TRT1.tr@SD - Apr 24, 2026 (14 programs)
ℹ   [140/200] dsmart.com.tr (tr) - TRT1.tr@SD - Apr 25, 2026 (0 programs)
ℹ   [141/200] dsmart.com.tr (tr) - DiziSmartMax.tr@SD - Apr 24, 2026 (14 programs)
ℹ   [142/200] dsmart.com.tr (tr) - DiziSmartMax.tr@SD - Apr 25, 2026 (12 programs)
ℹ   [143/200] dsmart.com.tr (tr) - 58d29bb0eefad3db9c606281 - Apr 24, 2026 (17 programs)
ℹ   [144/200] dsmart.com.tr (tr) - 58d29bb0eefad3db9c606281 - Apr 25, 2026 (14 programs)
ℹ   [145/200] dsmart.com.tr (tr) - TRTHaber.tr@SD - Apr 24, 2026 (22 programs)
ℹ   [146/200] dsmart.com.tr (tr) - TRTHaber.tr@SD - Apr 25, 2026 (0 programs)
ℹ   [147/200] dsmart.com.tr (tr) - MovieSmartTurk.tr@SD - Apr 24, 2026 (14 programs)
ℹ   [148/200] dsmart.com.tr (tr) - MovieSmartTurk.tr@SD - Apr 25, 2026 (12 programs)
ℹ   [149/200] dsmart.com.tr (tr) - CNNTurk.tr@SD - Apr 24, 2026 (10 programs)
ℹ   [150/200] dsmart.com.tr (tr) - CNNTurk.tr@SD - Apr 25, 2026 (13 programs)
ℹ   [151/200] dsmart.com.tr (tr) - FashionTVEurope.fr@SD - Apr 24, 2026 (48 programs)
ℹ   [152/200] dsmart.com.tr (tr) - FashionTVEurope.fr@SD - Apr 25, 2026 (48 programs)
ℹ   [153/200] dsmart.com.tr (tr) - 59dca29fcfef0b4d80a47a61 - Apr 24, 2026 (8 programs)
ℹ   [154/200] dsmart.com.tr (tr) - 59dca29fcfef0b4d80a47a61 - Apr 25, 2026 (8 programs)
ℹ   [155/200] dsmart.com.tr (tr) - TV4.tr@SD - Apr 24, 2026 (25 programs)
ℹ   [156/200] dsmart.com.tr (tr) - TV4.tr@SD - Apr 25, 2026 (28 programs)
ℹ   [157/200] dsmart.com.tr (tr) - Tele1.tr@SD - Apr 24, 2026 (0 programs)
ℹ   [158/200] dsmart.com.tr (tr) - Tele1.tr@SD - Apr 25, 2026 (0 programs)
ℹ   [159/200] dsmart.com.tr (tr) - A2TV.tr@SD - Apr 24, 2026 (11 programs)
ℹ   [160/200] dsmart.com.tr (tr) - A2TV.tr@SD - Apr 25, 2026 (11 programs)
ℹ   [161/200] dsmart.com.tr (tr) - TRT4K.tr@SD - Apr 24, 2026 (19 programs)
ℹ   [162/200] dsmart.com.tr (tr) - TRT4K.tr@SD - Apr 25, 2026 (0 programs)
ℹ   [163/200] dsmart.com.tr (tr) - EuroD.tr@SD - Apr 24, 2026 (16 programs)
ℹ   [164/200] dsmart.com.tr (tr) - EuroD.tr@SD - Apr 25, 2026 (15 programs)
ℹ   [165/200] dsmart.com.tr (tr) - 61a408d7cfef0b1593ed2812 - Apr 24, 2026 (0 programs)
ℹ   [166/200] dsmart.com.tr (tr) - 61a408d7cfef0b1593ed2812 - Apr 25, 2026 (0 programs)
ℹ   [167/200] dsmart.com.tr (tr) - SozcuTV.tr@SD - Apr 24, 2026 (15 programs)
ℹ   [168/200] dsmart.com.tr (tr) - SozcuTV.tr@SD - Apr 25, 2026 (16 programs)
ℹ   [169/200] dsmart.com.tr (tr) - TarihTV.tr@SD - Apr 24, 2026 (34 programs)
ℹ   [170/200] dsmart.com.tr (tr) - TarihTV.tr@SD - Apr 25, 2026 (31 programs)
ℹ   [171/200] dsmart.com.tr (tr) - HTSporTV.tr@SD - Apr 24, 2026 (16 programs)
ℹ   [172/200] dsmart.com.tr (tr) - HTSporTV.tr@SD - Apr 25, 2026 (17 programs)
ℹ   [173/200] dsmart.com.tr (tr) - 67a3521bcfef0b3744abd66d - Apr 24, 2026 (43 programs)
ℹ   [174/200] dsmart.com.tr (tr) - 67a3521bcfef0b3744abd66d - Apr 25, 2026 (41 programs)
ℹ   [175/200] dsmart.com.tr (tr) - 67c063a6cfef0b3744b5ff9e - Apr 24, 2026 (115 programs)
ℹ   [176/200] dsmart.com.tr (tr) - 67c063a6cfef0b3744b5ff9e - Apr 25, 2026 (0 programs)
ℹ   [177/200] dsmart.com.tr (tr) - 679b51bdcfef0b3744a77893 - Apr 24, 2026 (15 programs)
ℹ   [178/200] dsmart.com.tr (tr) - 679b51bdcfef0b3744a77893 - Apr 25, 2026 (17 programs)
ℹ   [179/200] dsmart.com.tr (tr) - 683d6eafcfef0b3744e79132 - Apr 24, 2026 (0 programs)
ℹ   [180/200] dsmart.com.tr (tr) - 683d6eafcfef0b3744e79132 - Apr 25, 2026 (0 programs)
ℹ   [181/200] dsmart.com.tr (tr) - 6540d968cfef0b02d2dbb177 - Apr 24, 2026 (48 programs)
ℹ   [182/200] dsmart.com.tr (tr) - 6540d968cfef0b02d2dbb177 - Apr 25, 2026 (48 programs)
ℹ   [183/200] dsmart.com.tr (tr) - CNBCEurope.uk@SD - Apr 24, 2026 (34 programs)
ℹ   [184/200] dsmart.com.tr (tr) - CNBCEurope.uk@SD - Apr 25, 2026 (27 programs)
ℹ   [185/200] dsmart.com.tr (tr) - 67e5c4c6cfef0b3744c556fa - Apr 24, 2026 (33 programs)
ℹ   [186/200] dsmart.com.tr (tr) - 67e5c4c6cfef0b3744c556fa - Apr 25, 2026 (30 programs)
ℹ   [187/200] dsmart.com.tr (tr) - 67e5c246cfef0b3744c53a83 - Apr 24, 2026 (27 programs)
ℹ   [188/200] dsmart.com.tr (tr) - 67e5c246cfef0b3744c53a83 - Apr 25, 2026 (26 programs)
ℹ   [189/200] dsmart.com.tr (tr) - 66337391cfef0b02d78776c8 - Apr 24, 2026 (0 programs)
ℹ   [190/200] dsmart.com.tr (tr) - 66337391cfef0b02d78776c8 - Apr 25, 2026 (0 programs)
ℹ   [191/200] dsmart.com.tr (tr) - 66e7e5cdcfef0b374461c45b - Apr 24, 2026 (9 programs)
ℹ   [192/200] dsmart.com.tr (tr) - 66e7e5cdcfef0b374461c45b - Apr 25, 2026 (9 programs)
ℹ   [193/200] dsmart.com.tr (tr) - 66e7e50dcfef0b374461c36e - Apr 24, 2026 (11 programs)
ℹ   [194/200] dsmart.com.tr (tr) - 66e7e50dcfef0b374461c36e - Apr 25, 2026 (11 programs)
ℹ   [195/200] dsmart.com.tr (tr) - 66e7e54ccfef0b374461c370 - Apr 24, 2026 (10 programs)
ℹ   [196/200] dsmart.com.tr (tr) - 66e7e54ccfef0b374461c370 - Apr 25, 2026 (10 programs)
ℹ   [197/200] dsmart.com.tr (tr) - ANews.tr@SD - Apr 24, 2026 (92 programs)
ℹ   [198/200] dsmart.com.tr (tr) - ANews.tr@SD - Apr 25, 2026 (90 programs)
ℹ   [199/200] dsmart.com.tr (tr) - 5e75c923cfef0b15938bc9cc - Apr 24, 2026 (52 programs)
ℹ   [200/200] dsmart.com.tr (tr) - 5e75c923cfef0b15938bc9cc - Apr 25, 2026 (0 programs)
ℹ   saving to "/home/runner/workspace/sites/dsmart.com.tr/dsmart.com.tr.xml"...
✔   done in 00h 00m 22s
