═══════════════════════════════════════════════════════════════
  Site            : osn.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 38s
  Channels        : 268
  With programmes : 267
  Empty channels  : 1
  Total programs  : 10059
  Output size     : 1720249 bytes
  Other errors    :
    1 Unexpected end of JSON input
  Last error      : Unexpected end of JSON input
  Generated       : 2026-04-24 11:35:42
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:35:04 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=osn.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 134 channel(s)
ℹ loading api data...
ℹ   [166/268] osn.com (en) - OCM - Apr 25, 2026 (16 programs)
ℹ   [167/268] osn.com (en) - OFM - Apr 24, 2026 (12 programs)
ℹ   [168/268] osn.com (en) - OFM - Apr 25, 2026 (33 programs)
ℹ   [169/268] osn.com (en) - OLH - Apr 25, 2026 (33 programs)
ℹ   [170/268] osn.com (en) - OMC - Apr 24, 2026 (16 programs)
ℹ   [171/268] osn.com (en) - OMC - Apr 25, 2026 (15 programs)
ℹ   [172/268] osn.com (en) - OST - Apr 24, 2026 (33 programs)
ℹ   [173/268] osn.com (en) - OST - Apr 25, 2026 (33 programs)
ℹ   [174/268] osn.com (en) - OTO - Apr 24, 2026 (34 programs)
ℹ   [175/268] osn.com (en) - OTO - Apr 25, 2026 (28 programs)
ℹ   [176/268] osn.com (en) - PDT - Apr 24, 2026 (24 programs)
ℹ   [177/268] osn.com (en) - PDT - Apr 25, 2026 (24 programs)
ℹ   [178/268] osn.com (en) - POP - Apr 24, 2026 (12 programs)
ℹ   [179/268] osn.com (en) - POP - Apr 25, 2026 (12 programs)
ℹ   [180/268] osn.com (en) - RFM - Apr 24, 2026 (24 programs)
ℹ   [181/268] osn.com (en) - RFM - Apr 25, 2026 (24 programs)
ℹ   [182/268] osn.com (en) - AksyonTVInternational.ph@SD - Apr 24, 2026 (21 programs)
ℹ   [183/268] osn.com (en) - AksyonTVInternational.ph@SD - Apr 25, 2026 (19 programs)
ℹ   [184/268] osn.com (en) - AlfaSeries.ae@Plus2 - Apr 24, 2026 (25 programs)
ℹ   [185/268] osn.com (en) - OLH - Apr 24, 2026 (33 programs)
ℹ   [186/268] osn.com (en) - AlfaSeries.ae@Plus2 - Apr 25, 2026 (25 programs)
ℹ   [187/268] osn.com (en) - AlfaSeries.ae@SD - Apr 24, 2026 (25 programs)
ℹ   [188/268] osn.com (en) - AlfaSeries.ae@SD - Apr 25, 2026 (25 programs)
ℹ   [189/268] osn.com (en) - AlSafwa.ae@SD - Apr 24, 2026 (38 programs)
ℹ   [190/268] osn.com (en) - AlSafwa.ae@SD - Apr 25, 2026 (38 programs)
