═══════════════════════════════════════════════════════════════
  Site            : teleboy.ch
  Status          : EMPTY
  Attempts used   : 10 / 10
  Total elapsed   : 450s
  Channels        : 6500
  With programmes : 0
  Empty channels  : 6500
  Total programs  : 0
  Output size     : 0 bytes
  HTTP errors     :
    6500 status code 403
  Last error      : Request failed with status code 403
  Generated       : 2026-04-24 12:25:00
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:17:30 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=teleboy.ch --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 325 channel(s)
ℹ loading api data...
ℹ   [107/650] teleboy.ch (it) - 271 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [108/650] teleboy.ch (it) - 271 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [109/650] teleboy.ch (de) - 274 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [110/650] teleboy.ch (de) - 274 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [111/650] teleboy.ch (it) - 276 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [112/650] teleboy.ch (it) - 276 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [113/650] teleboy.ch (it) - 282 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [114/650] teleboy.ch (it) - 281 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [115/650] teleboy.ch (it) - 281 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [116/650] teleboy.ch (it) - 283 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [117/650] teleboy.ch (it) - 282 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [118/650] teleboy.ch (fr) - 288 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [119/650] teleboy.ch (it) - 283 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [120/650] teleboy.ch (fr) - 288 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [121/650] teleboy.ch (fr) - 296 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [122/650] teleboy.ch (fr) - 296 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [123/650] teleboy.ch (fr) - 297 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [124/650] teleboy.ch (de) - 298 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [125/650] teleboy.ch (fr) - 297 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [126/650] teleboy.ch (fr) - 299 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [127/650] teleboy.ch (de) - 298 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [128/650] teleboy.ch (fr) - 299 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [129/650] teleboy.ch (it) - 300 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [130/650] teleboy.ch (it) - 300 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [131/650] teleboy.ch (de) - 301 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [132/650] teleboy.ch (de) - 301 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [133/650] teleboy.ch (de) - 303 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [134/650] teleboy.ch (de) - 303 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [135/650] teleboy.ch (de) - 304 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [136/650] teleboy.ch (de) - 304 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [137/650] teleboy.ch (fr) - 305 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [138/650] teleboy.ch (fr) - 305 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [139/650] teleboy.ch (de) - 306 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [140/650] teleboy.ch (de) - 306 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [141/650] teleboy.ch (de) - 307 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [142/650] teleboy.ch (de) - 307 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [143/650] teleboy.ch (fr) - 308 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [144/650] teleboy.ch (fr) - 308 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [145/650] teleboy.ch (de) - 309 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [146/650] teleboy.ch (de) - 310 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [147/650] teleboy.ch (de) - 309 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [148/650] teleboy.ch (de) - 311 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [149/650] teleboy.ch (de) - 310 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [150/650] teleboy.ch (de) - 311 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [151/650] teleboy.ch (fr) - 312 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [152/650] teleboy.ch (de) - 313 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [153/650] teleboy.ch (fr) - 312 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [154/650] teleboy.ch (de) - 313 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [155/650] teleboy.ch (de) - 314 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [156/650] teleboy.ch (de) - 314 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [157/650] teleboy.ch (de) - 317 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [158/650] teleboy.ch (de) - 317 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [159/650] teleboy.ch (fr) - 321 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [160/650] teleboy.ch (fr) - 321 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [161/650] teleboy.ch (de) - 323 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [162/650] teleboy.ch (de) - 323 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [163/650] teleboy.ch (de) - 326 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [164/650] teleboy.ch (de) - 328 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [165/650] teleboy.ch (de) - 326 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [166/650] teleboy.ch (de) - 328 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [167/650] teleboy.ch (it) - 329 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [168/650] teleboy.ch (fr) - 330 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [169/650] teleboy.ch (it) - 329 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [170/650] teleboy.ch (fr) - 330 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [171/650] teleboy.ch (fr) - 331 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [172/650] teleboy.ch (fr) - 331 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [173/650] teleboy.ch (en) - 332 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [174/650] teleboy.ch (en) - 332 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [175/650] teleboy.ch (en) - 333 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [176/650] teleboy.ch (it) - 335 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [177/650] teleboy.ch (it) - 335 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [178/650] teleboy.ch (en) - 333 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [179/650] teleboy.ch (de) - 336 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [180/650] teleboy.ch (de) - 336 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [181/650] teleboy.ch (de) - 337 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [182/650] teleboy.ch (de) - 337 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [183/650] teleboy.ch (de) - 338 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [184/650] teleboy.ch (it) - 339 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [185/650] teleboy.ch (de) - 338 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [186/650] teleboy.ch (it) - 340 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [187/650] teleboy.ch (it) - 339 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [188/650] teleboy.ch (it) - 340 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [189/650] teleboy.ch (de) - 341 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [190/650] teleboy.ch (de) - 341 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [191/650] teleboy.ch (fr) - 342 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [192/650] teleboy.ch (fr) - 342 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
ℹ   [193/650] teleboy.ch (de) - 343 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 403
