═══════════════════════════════════════════════════════════════
  Site            : mncvision.id
  Status          : TIMEOUT
  Attempts used   : 10 / 10
  Total elapsed   : 12046s
  Channels        : 4074
  With programmes : 3791
  Empty channels  : 283
  Total programs  : 0
  Output size     : 0 bytes
  HTTP errors     :
    237 status code 500
  Generated       : 2026-04-24 14:33:42
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:12:56 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=mncvision.id --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 276 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [223/552] mncvision.id (en) - 420 - Apr 24, 2026 (19 programs)
ℹ   [224/552] mncvision.id (en) - 420 - Apr 25, 2026 (17 programs)
ℹ   [225/552] mncvision.id (en) - 421 - Apr 24, 2026 (20 programs)
ℹ   [226/552] mncvision.id (en) - 421 - Apr 25, 2026 (20 programs)
ℹ   [227/552] mncvision.id (en) - 422 - Apr 24, 2026 (15 programs)
ℹ   [228/552] mncvision.id (en) - 422 - Apr 25, 2026 (16 programs)
ℹ   [229/552] mncvision.id (en) - 423 - Apr 24, 2026 (12 programs)
ℹ   [230/552] mncvision.id (en) - 423 - Apr 25, 2026 (15 programs)
ℹ   [231/552] mncvision.id (en) - 424 - Apr 24, 2026 (12 programs)
ℹ   [232/552] mncvision.id (en) - 424 - Apr 25, 2026 (15 programs)
ℹ   [233/552] mncvision.id (en) - SPOTV.kr@HD - Apr 24, 2026 (13 programs)
ℹ   [234/552] mncvision.id (en) - SPOTV.kr@HD - Apr 25, 2026 (14 programs)
ℹ   [235/552] mncvision.id (en) - SPOTV2.kr@HD - Apr 24, 2026 (15 programs)
ℹ   [236/552] mncvision.id (en) - SPOTV2.kr@HD - Apr 25, 2026 (16 programs)
ℹ   [237/552] mncvision.id (en) - 430 - Apr 24, 2026 (13 programs)
ℹ   [238/552] mncvision.id (en) - 430 - Apr 25, 2026 (17 programs)
ℹ   [239/552] mncvision.id (en) - GTV.id@SD - Apr 24, 2026 (15 programs)
ℹ   [240/552] mncvision.id (en) - GTV.id@SD - Apr 25, 2026 (15 programs)
ℹ   [241/552] mncvision.id (en) - 432 - Apr 24, 2026 (15 programs)
ℹ   [242/552] mncvision.id (en) - 432 - Apr 25, 2026 (14 programs)
ℹ   [243/552] mncvision.id (en) - 433 - Apr 24, 2026 (20 programs)
ℹ   [244/552] mncvision.id (en) - 433 - Apr 25, 2026 (16 programs)
ℹ   [245/552] mncvision.id (en) - 434 - Apr 24, 2026 (24 programs)
ℹ   [246/552] mncvision.id (en) - 434 - Apr 25, 2026 (24 programs)
ℹ   [247/552] mncvision.id (en) - 436 - Apr 24, 2026 (30 programs)
ℹ   [248/552] mncvision.id (en) - 437 - Apr 24, 2026 (18 programs)
ℹ   [249/552] mncvision.id (en) - 437 - Apr 25, 2026 (17 programs)
ℹ   [250/552] mncvision.id (en) - 436 - Apr 25, 2026 (30 programs)
ℹ   [251/552] mncvision.id (en) - 438 - Apr 24, 2026 (15 programs)
ℹ   [252/552] mncvision.id (en) - 438 - Apr 25, 2026 (17 programs)
ℹ   [253/552] mncvision.id (en) - 444 - Apr 24, 2026 (20 programs)
ℹ   [254/552] mncvision.id (en) - 444 - Apr 25, 2026 (17 programs)
ℹ   [255/552] mncvision.id (en) - ONE.sg@HD - Apr 24, 2026 (19 programs)
ℹ   [256/552] mncvision.id (en) - ONE.sg@HD - Apr 25, 2026 (16 programs)
ℹ   [257/552] mncvision.id (en) - tvNAsia.hk@HD - Apr 24, 2026 (18 programs)
ℹ   [258/552] mncvision.id (en) - tvNAsia.hk@HD - Apr 25, 2026 (20 programs)
ℹ   [259/552] mncvision.id (en) - 447 - Apr 25, 2026 (24 programs)
