═══════════════════════════════════════════════════════════════
  Site            : tvpassport.com
  Status          : TIMEOUT
  Attempts used   : 10 / 10
  Total elapsed   : 991s
  Channels        : 5806
  With programmes : 5788
  Empty channels  : 18
  Total programs  : 0
  Output size     : 0 bytes
  Generated       : 2026-04-24 13:11:18
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:54:47 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tvpassport.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 19287 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [102/38574] tvpassport.com (en) - 3abn-latino-kvvv-ld4-houston-tx/16695 - Apr 25, 2026 (12 programs)
ℹ   [103/38574] tvpassport.com (en) - 3abn-latino-w05co-dt4-sarasota-fl/15672 - Apr 24, 2026 (35 programs)
ℹ   [104/38574] tvpassport.com (en) - 3abn-latino-w05co-dt4-sarasota-fl/15672 - Apr 25, 2026 (35 programs)
ℹ   [105/38574] tvpassport.com (en) - 3abn-latino-w14cx-d4-knoxville-tn/36790 - Apr 24, 2026 (35 programs)
ℹ   [106/38574] tvpassport.com (en) - 3abn-latino-w14cx-d4-knoxville-tn/36790 - Apr 25, 2026 (35 programs)
ℹ   [107/38574] tvpassport.com (en) - 3abn-latino-w15bu-dt3-johnson-city-il/17788 - Apr 24, 2026 (35 programs)
ℹ   [108/38574] tvpassport.com (en) - 3abn-latino-w15bu-dt3-johnson-city-il/17788 - Apr 25, 2026 (35 programs)
ℹ   [109/38574] tvpassport.com (en) - 3abn-latino-w26dh-dt2-fort-wayne-in/17789 - Apr 24, 2026 (35 programs)
ℹ   [110/38574] tvpassport.com (en) - 3abn-latino-w28dy-d4-sault-ste-marie-mi/37175 - Apr 25, 2026 (35 programs)
ℹ   [111/38574] tvpassport.com (en) - 3abn-latino-w26dh-dt2-fort-wayne-in/17789 - Apr 25, 2026 (35 programs)
ℹ   [112/38574] tvpassport.com (en) - 3abn-latino-w28dy-d4-sault-ste-marie-mi/37175 - Apr 24, 2026 (35 programs)
ℹ   [113/38574] tvpassport.com (en) - 3abn-latino-w29ci-dt4-salem-il/15431 - Apr 24, 2026 (35 programs)
ℹ   [114/38574] tvpassport.com (en) - 3abn-latino-w30bu-4-green-bay-wi/15764 - Apr 24, 2026 (35 programs)
ℹ   [115/38574] tvpassport.com (en) - 3abn-latino-w29ci-dt4-salem-il/15431 - Apr 25, 2026 (35 programs)
ℹ   [116/38574] tvpassport.com (en) - 3abn-latino-w30bu-4-green-bay-wi/15764 - Apr 25, 2026 (35 programs)
ℹ   [117/38574] tvpassport.com (en) - 3abn-latino-w32dj-d3-melbourne-fl/15650 - Apr 25, 2026 (35 programs)
ℹ   [118/38574] tvpassport.com (en) - 3abn-latino-w32dj-d3-melbourne-fl/15650 - Apr 24, 2026 (35 programs)
ℹ   [119/38574] tvpassport.com (en) - 3abn-latino-w48cl-d4-grand-rapids-mi/15757 - Apr 24, 2026 (35 programs)
