═══════════════════════════════════════════════════════════════
  Site            : tv24.co.uk
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 197s
  Channels        : 2144
  With programmes : 1204
  Empty channels  : 940
  Total programs  : 35238
  Output size     : 10998048 bytes
  Generated       : 2026-04-24 12:28:33
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:25:16 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tv24.co.uk --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 1072 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [98/2144] tv24.co.uk (en) - AriseNews.uk@SD - Apr 24, 2026 (26 programs)
ℹ   [99/2144] tv24.co.uk (en) - arise-news - Apr 24, 2026 (7 programs)
ℹ   [100/2144] tv24.co.uk (en) - arise-news - Apr 25, 2026 (7 programs)
ℹ   [101/2144] tv24.co.uk (en) - arte - Apr 24, 2026 (29 programs)
ℹ   [102/2144] tv24.co.uk (en) - arte-hd - Apr 24, 2026 (29 programs)
ℹ   [103/2144] tv24.co.uk (en) - arte - Apr 25, 2026 (29 programs)
ℹ   [104/2144] tv24.co.uk (en) - arte-hd - Apr 25, 2026 (29 programs)
ℹ   [105/2144] tv24.co.uk (en) - asharq-news - Apr 24, 2026 (0 programs)
ℹ   [106/2144] tv24.co.uk (en) - asharq-news-hd - Apr 25, 2026 (7 programs)
ℹ   [107/2144] tv24.co.uk (en) - asharq-news - Apr 25, 2026 (0 programs)
ℹ   [108/2144] tv24.co.uk (en) - asharq-news-hd - Apr 24, 2026 (7 programs)
ℹ   [109/2144] tv24.co.uk (en) - astrotv - Apr 24, 2026 (7 programs)
ℹ   [110/2144] tv24.co.uk (en) - astrotv - Apr 25, 2026 (7 programs)
ℹ   [111/2144] tv24.co.uk (en) - augsburg-tv-hd - Apr 24, 2026 (0 programs)
ℹ   [112/2144] tv24.co.uk (en) - augsburg-tv-hd - Apr 25, 2026 (0 programs)
ℹ   [113/2144] tv24.co.uk (en) - ayozat-tv - Apr 24, 2026 (0 programs)
