═══════════════════════════════════════════════════════════════
  Site            : vidio.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 26s
  Channels        : 114
  With programmes : 92
  Empty channels  : 22
  Total programs  : 3106
  Output size     : 1436508 bytes
  HTTP errors     :
    6 status code 404
  Last error      : Request failed with status code 404
  Generated       : 2026-04-24 13:01:01
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 13:00:35 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=vidio.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 57 channel(s)
ℹ loading api data...
ℹ   [103/114] vidio.com (id) - 17875 - Apr 24, 2026 (15 programs)
ℹ   [104/114] vidio.com (id) - 17875 - Apr 25, 2026 (23 programs)
ℹ   [105/114] vidio.com (id) - 18105 - Apr 24, 2026 (0 programs)
ℹ   [106/114] vidio.com (id) - 18105 - Apr 25, 2026 (0 programs)
ℹ   [107/114] vidio.com (id) - 18189 - Apr 25, 2026 (14 programs)
ℹ   [108/114] vidio.com (id) - 18189 - Apr 24, 2026 (14 programs)
ℹ   [109/114] vidio.com (id) - 18190 - Apr 24, 2026 (10 programs)
ℹ   [110/114] vidio.com (id) - 18190 - Apr 25, 2026 (10 programs)
ℹ   [111/114] vidio.com (id) - BeritaSatuEnglish.id@SD - Apr 24, 2026 (35 programs)
ℹ   [112/114] vidio.com (id) - BeritaSatuEnglish.id@SD - Apr 25, 2026 (33 programs)
ℹ   [113/114] vidio.com (id) - DaystarTV.us@SD - Apr 24, 2026 (45 programs)
ℹ   [114/114] vidio.com (id) - DaystarTV.us@SD - Apr 25, 2026 (43 programs)
ℹ   saving to "/home/runner/workspace/sites/vidio.com/vidio.com.xml"...
✔   done in 00h 00m 21s
