═══════════════════════════════════════════════════════════════
  Site            : mytelly.co.uk
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 86s
  Channels        : 976
  With programmes : 111
  Empty channels  : 865
  Total programs  : 3059
  Output size     : 695478 bytes
  HTTP errors     :
    857 status code 405
    8 status code 404
  Last error      : Request failed with status code 405
  Generated       : 2026-04-24 11:24:13
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:22:46 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=mytelly.co.uk --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 488 channel(s)
ℹ     ERR: Request failed with status code 404
ℹ   [108/976] mytelly.co.uk (en) - MTV80s.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [109/976] mytelly.co.uk (en) - DiscoveryTurbo.uk@SD - Apr 24, 2026 (30 programs)
ℹ   [110/976] mytelly.co.uk (en) - 154/ualibi - Apr 24, 2026 (23 programs)
ℹ   [111/976] mytelly.co.uk (en) - 154/ualibi - Apr 25, 2026 (22 programs)
ℹ   [112/976] mytelly.co.uk (en) - DiscoveryTurbo.uk@SD - Apr 25, 2026 (29 programs)
ℹ   [113/976] mytelly.co.uk (en) - SkySciFi.uk@SD - Apr 24, 2026 (26 programs)
ℹ   [114/976] mytelly.co.uk (en) - SkySciFi.uk@SD - Apr 25, 2026 (25 programs)
ℹ   [115/976] mytelly.co.uk (en) - AnimalPlanet.uk@SD - Apr 24, 2026 (27 programs)
ℹ   [116/976] mytelly.co.uk (en) - AnimalPlanet.uk@SD - Apr 25, 2026 (28 programs)
ℹ   [117/976] mytelly.co.uk (en) - DiscoveryChannel.uk@UK - Apr 24, 2026 (27 programs)
ℹ   [118/976] mytelly.co.uk (en) - DiscoveryChannel.uk@UK - Apr 25, 2026 (24 programs)
ℹ   [119/976] mytelly.co.uk (en) - Challenge.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [120/976] mytelly.co.uk (en) - SkyHistory.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 405
ℹ   [121/976] mytelly.co.uk (en) - Challenge.uk@SD - Apr 24, 2026 (28 programs)
