═══════════════════════════════════════════════════════════════
  Site            : zap2it.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 91s
  Channels        : 1190
  With programmes : 681
  Empty channels  : 509
  Total programs  : 7810
  Output size     : 3917204 bytes
  HTTP errors     :
    503 status code 429
  Last error      : Request failed with status code 429
  Generated       : 2026-04-24 13:08:52
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 13:07:20 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=zap2it.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 595 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [134/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/12410 - Apr 25, 2026 (17 programs)
ℹ   [135/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/12444 - Apr 24, 2026 (10 programs)
ℹ   [136/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/12444 - Apr 25, 2026 (13 programs)
ℹ   [137/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/12508 - Apr 24, 2026 (8 programs)
ℹ   [138/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/12508 - Apr 25, 2026 (7 programs)
ℹ   [139/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/12509 - Apr 24, 2026 (7 programs)
ℹ   [140/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/12509 - Apr 25, 2026 (7 programs)
ℹ   [141/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/12510 - Apr 24, 2026 (23 programs)
ℹ   [142/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/12510 - Apr 25, 2026 (20 programs)
ℹ   [143/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/12574 - Apr 24, 2026 (16 programs)
ℹ   [144/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/12719 - Apr 24, 2026 (7 programs)
ℹ   [145/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/12574 - Apr 25, 2026 (18 programs)
ℹ   [146/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/12719 - Apr 25, 2026 (8 programs)
ℹ   [147/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/12741 - Apr 24, 2026 (7 programs)
ℹ   [148/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/12741 - Apr 25, 2026 (8 programs)
ℹ   [149/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/12782 - Apr 24, 2026 (4 programs)
ℹ   [150/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/12782 - Apr 25, 2026 (4 programs)
ℹ   [151/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/12785 - Apr 24, 2026 (4 programs)
ℹ   [152/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/12785 - Apr 25, 2026 (4 programs)
ℹ   [153/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/12792 - Apr 24, 2026 (2 programs)
ℹ   [154/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/12792 - Apr 25, 2026 (2 programs)
ℹ   [155/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/12801 - Apr 24, 2026 (6 programs)
ℹ   [156/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/12801 - Apr 25, 2026 (6 programs)
ℹ   [157/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/12852 - Apr 24, 2026 (6 programs)
ℹ   [158/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/12852 - Apr 25, 2026 (8 programs)
ℹ   [159/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/14321 - Apr 24, 2026 (5 programs)
ℹ   [160/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/14321 - Apr 25, 2026 (5 programs)
ℹ   [161/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/14755 - Apr 24, 2026 (10 programs)
ℹ   [162/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/14755 - Apr 25, 2026 (20 programs)
ℹ   [163/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/14762 - Apr 24, 2026 (9 programs)
ℹ   [164/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/14762 - Apr 25, 2026 (18 programs)
ℹ   [165/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/14764 - Apr 24, 2026 (7 programs)
ℹ   [166/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/14764 - Apr 25, 2026 (8 programs)
ℹ   [167/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/14766 - Apr 25, 2026 (8 programs)
ℹ   [168/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/14766 - Apr 24, 2026 (7 programs)
ℹ   [169/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/14771 - Apr 24, 2026 (11 programs)
ℹ   [170/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/14776 - Apr 24, 2026 (19 programs)
ℹ   [171/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/14791 - Apr 24, 2026 (11 programs)
ℹ   [172/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/14776 - Apr 25, 2026 (15 programs)
ℹ   [173/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/14771 - Apr 25, 2026 (10 programs)
ℹ   [174/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/14791 - Apr 25, 2026 (12 programs)
ℹ   [175/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/14870 - Apr 25, 2026 (7 programs)
ℹ   [176/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/14870 - Apr 24, 2026 (7 programs)
ℹ   [177/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/14871 - Apr 24, 2026 (7 programs)
ℹ   [178/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/14871 - Apr 25, 2026 (7 programs)
ℹ   [179/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/14873 - Apr 24, 2026 (5 programs)
ℹ   [180/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/14899 - Apr 24, 2026 (4 programs)
ℹ   [181/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/14897 - Apr 24, 2026 (13 programs)
ℹ   [182/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/14897 - Apr 25, 2026 (9 programs)
ℹ   [183/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/14873 - Apr 25, 2026 (5 programs)
